Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	
mRNA stabilization (GO:0048255)	3/44	5.55E-04	0.016028085	0	0	20.78675958	155.8325552	FUS;HNRNPU;HNRNPC	
regulation of low-density lipoprotein particle clearance (GO:0010988)	10-Feb	5.80E-04	0.016138692	0	0	70.13732394	522.670664	HNRNPK;KHSRP	
epithelial to mesenchymal transition (GO:0001837)	3/47	6.74E-04	0.018079656	0	0	19.36655844	141.4178845	DDX17;DDX5;HNRNPAB	
actin filament depolymerization (GO:0030042)	11-Feb	7.07E-04	0.018321366	0	0	62.34115806	452.2101165	CFL1;DSTN	
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)"	4/113	7.79E-04	0.019496877	0	0	10.54008775	75.44168413	RPL18A;RPL34;RPL13;RPS20	
regulation of macromolecule metabolic process (GO:0060255)	5/200	8.23E-04	0.019496877	0	0	7.440422323	52.84176945	HNRNPK;KHSRP;FUBP1;HNRNPD;HNRNPAB	
negative regulation of transcription elongation from RNA polymerase II promoter (GO:0034244)	12-Feb	8.47E-04	0.019496877	0	0	56.10422535	396.8722341	TCERG1;HNRNPU	
mesenchymal cell differentiation (GO:0048762)	3/51	8.57E-04	0.019496877	0	0	17.74910714	125.3512779	DDX17;DDX5;HNRNPAB	
negative regulation of stem cell differentiation (GO:2000737)	13-Feb	9.99E-04	0.021573785	0	0	51.00128041	352.3753423	YTHDF2;HNRNPU	
cellular macromolecule biosynthetic process (GO:0034645)	6/314	0.001005436	0.021573785	0	0	5.70430316	39.3730053	PPP5C;RPL18A;RPL34;RPL13;RPS20;MCM6	
regulation of mRNA catabolic process (GO:0061013)	4/122	0.001036691	0.021626525	0	0	9.731761238	66.87395237	YTHDF2;PSMA1;KHSRP;HNRNPD	
"negative regulation of DNA-templated transcription, elongation (GO:0032785)"	14-Feb	0.001162296	0.022970632	0	0	46.74882629	315.8985674	TCERG1;HNRNPU	
"negative regulation of mRNA splicing, via spliceosome (GO:0048025)"	14-Feb	0.001162296	0.022970632	0	0	46.74882629	315.8985674	RBMX;SRSF9	
androgen receptor signaling pathway (GO:0030521)	15-Feb	0.001337947	0.024507275	0	0	43.15059588	285.511046	DDX17;DDX5	
negative regulation of mRNA processing (GO:0050686)	15-Feb	0.001337947	0.024507275	0	0	43.15059588	285.511046	RBMX;SRSF9	
myoblast differentiation (GO:0045445)	15-Feb	0.001337947	0.024507275	0	0	43.15059588	285.511046	DDX17;DDX5	
ribonucleoprotein complex assembly (GO:0022618)	4/136	0.001548691	0.027692064	0	0	8.693456302	56.24966534	CPSF7;CLNS1A;SRSF1;SRSF9	
intracellular estrogen receptor signaling pathway (GO:0030520)	18-Feb	0.001935824	0.033040994	0	0	35.05457746	218.993737	DDX17;DDX5	
DNA conformation change (GO:0071103)	18-Feb	0.001935824	0.033040994	0	0	35.05457746	218.993737	HMGB3;HMGB1	
RNA 3'-end processing (GO:0031123)	3/69	0.002056598	0.034322334	0	0	12.89675325	79.78837137	CPSF7;SRSF1;SRSF9	
negative regulation of RNA splicing (GO:0033119)	19-Feb	0.00215847	0.035239362	0	0	32.9908865	202.5098006	RBMX;SRSF9	
negative regulation of telomere maintenance via telomerase (GO:0032211)	20-Feb	0.00239265	0.038231485	0	0	31.15649452	188.040472	HNRNPU;HNRNPC	
positive regulation of signal transduction by p53 class mediator (GO:1901798)	22-Feb	0.002895273	0.044831933	0	0	28.03802817	163.8731844	DDX5;RPS20	
peptide biosynthetic process (GO:0043043)	4/162	0.002925119	0.044831933	0	0	7.25334801	42.31907846	RPL18A;RPL34;RPL13;RPS20	
mRNA 3'-end processing (GO:0031124)	3/79	0.003024308	0.045425104	0	0	11.19417293	64.9382146	CPSF7;SRSF1;SRSF9	
negative regulation of NIK/NF-kappaB signaling (GO:1901223)	24-Feb	0.003443022	0.050700184	0	0	25.4865557	144.5445987	TMSB4X;CPNE1	
"positive regulation of transcription, DNA-templated (GO:0045893)"	11/1183	0.00359569	0.050968699	0	0	2.839163823	15.97886921	DDX17;TCERG1;SFPQ;ILF3;RUVBL2;HNRNPD;HNRNPU;HMGB1;AGRN;HNRNPAB;RBMX	
nuclear export (GO:0051168)	3/84	0.003596992	0.050968699	0	0	10.5005291	59.09337946	SRSF1;RAN;SRSF9	
positive regulation of filopodium assembly (GO:0051491)	26-Feb	0.004035229	0.054115306	0	0	23.36032864	128.7783007	PALM;AGRN	
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	26-Feb	0.004035229	0.054115306	0	0	23.36032864	128.7783007	HNRNPU;HNRNPC	
DNA geometric change (GO:0032392)	26-Feb	0.004035229	0.054115306	0	0	23.36032864	128.7783007	HMGB3;HMGB1	
cellular protein metabolic process (GO:0044267)	6/417	0.004161435	0.054651641	0	0	4.252315067	23.31074636	RPL18A;RPL34;RPL13;UBE2G1;RPS20;KNG1	
regulated exocytosis (GO:0045055)	4/180	0.004260774	0.054651641	0	0	6.505599473	35.50954288	TMSB4X;TAGLN2;STX1A;KNG1	
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	27-Feb	0.004347799	0.054651641	0	0	22.42478873	121.9479203	TCERG1;HNRNPU	
protein complex oligomerization (GO:0051259)	3/90	0.00436631	0.054651641	0	0	9.773399015	53.10705846	CPSF7;FUS;RBMX	
regulation of stem cell differentiation (GO:2000736)	3/91	0.004503453	0.055444155	0	0	9.661850649	52.20211686	YTHDF2;PSMA1;HNRNPU	
positive regulation of synapse assembly (GO:0051965)	28-Feb	0.004671237	0.055684105	0	0	21.56121343	115.704618	CLSTN1;AGRN	
protein depolymerization (GO:0051261)	28-Feb	0.004671237	0.055684105	0	0	21.56121343	115.704618	CFL1;DSTN	
negative regulation of mRNA catabolic process (GO:1902373)	2/29	0.005005461	0.058735958	0	0	20.76160668	109.9789174	FUS;HNRNPU	
ribosome biogenesis (GO:0042254)	4/192	0.005349688	0.059972301	0	0	6.086648165	31.83753449	RPL18A;RPL34;RPL13;RAN	
positive regulation of protein import (GO:1904591)	2/30	0.005350392	0.059972301	0	0	20.01911469	104.7116911	PDCD5;RAN	
mRNA splice site selection (GO:0006376)	2/30	0.005350392	0.059972301	0	0	20.01911469	104.7116911	SRSF1;SRSF9	
negative regulation of DNA biosynthetic process (GO:2000279)	2/32	0.00607205	0.067060432	0	0	18.68262911	95.35724203	HNRNPU;HNRNPC	
RNA stabilization (GO:0043489)	2/33	0.006448618	0.070187129	0	0	18.07905498	91.18875519	FUS;HNRNPU	
RNA export from nucleus (GO:0006405)	3/106	0.006878708	0.072759296	0	0	8.248543689	41.07217464	SRSF1;RAN;SRSF9	
protein localization to nucleus (GO:0034504)	3/106	0.006878708	0.072759296	0	0	8.248543689	41.07217464	LMNA;HNRNPU;RAN	
regulation of androgen receptor signaling pathway (GO:0060765)	2/36	0.007640329	0.079692875	0	0	16.48135874	80.33532795	DDX5;PKN1	
translation (GO:0006412)	4/214	0.007802144	0.080265892	0	0	5.442926156	26.41646219	RPL18A;RPL34;RPL13;RPS20	
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	2/37	0.008057974	0.081777549	0	0	16.00965795	77.1840514	DDX5;PKN1	
mRNA destabilization (GO:0061157)	2/38	0.008485694	0.084970084	0	0	15.56416275	74.23130658	YTHDF2;KHSRP	
DNA recombination (GO:0006310)	2/39	0.008923412	0.088177398	0	0	15.14274838	71.45979444	HMGB3;HMGB1	
regulation of filopodium assembly (GO:0051489)	2/41	0.009828534	0.095860117	0	0	14.36475262	66.40057337	PALM;AGRN	
platelet degranulation (GO:0002576)	3/125	0.010786286	0.103852574	0	0	6.957259953	31.51276822	TMSB4X;TAGLN2;KNG1	
positive regulation of mRNA catabolic process (GO:0061014)	2/44	0.011259298	0.104391761	0	0	13.33668679	59.83585907	YTHDF2;KHSRP	
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2/44	0.011259298	0.104391761	0	0	13.33668679	59.83585907	DDX17;DDX5	
mRNA catabolic process (GO:0006402)	2/44	0.011259298	0.104391761	0	0	13.33668679	59.83585907	DDX5;YTHDF2	
interleukin-12-mediated signaling pathway (GO:0035722)	2/46	0.012260986	0.110939766	0	0	12.72919334	56.02541764	CFL1;LMNB1	
spliceosomal complex assembly (GO:0000245)	2/46	0.012260986	0.110939766	0	0	12.72919334	56.02541764	SRSF1;SRSF9	
regulation of cell motility (GO:2000145)	3/133	0.012745709	0.111566827	0	0	6.526483516	28.47218004	TMSB4X;LMNA;PKN1	
regulation of DNA binding (GO:0051101)	2/47	0.012775962	0.111566827	0	0	12.4456964	54.26559946	CPNE1;HMGB1	
polyol metabolic process (GO:0019751)	2/47	0.012775962	0.111566827	0	0	12.4456964	54.26559946	IMPA1;PLCD1	
positive regulation of blood vessel endothelial cell migration (GO:0043536)	2/48	0.01330026	0.112230282	0	0	12.17452541	52.59360534	TMSB4X;HMGB1	
inositol phosphate metabolic process (GO:0043647)	2/48	0.01330026	0.112230282	0	0	12.17452541	52.59360534	IMPA1;PLCD1	
cellular response to interleukin-12 (GO:0071349)	2/48	0.01330026	0.112230282	0	0	12.17452541	52.59360534	CFL1;LMNB1	
RNA catabolic process (GO:0006401)	2/49	0.013833808	0.115435443	0	0	11.91489362	51.00336814	YTHDF2;HNRNPD	
actin polymerization or depolymerization (GO:0008154)	2/50	0.014376534	0.118324397	0	0	11.66607981	49.48935399	CFL1;DSTN	
mitotic nuclear membrane organization (GO:0101024)	2/51	0.014928364	0.118324397	0	0	11.42742167	48.04650568	LMNA;RAN	
mitotic nuclear membrane reassembly (GO:0007084)	2/51	0.014928364	0.118324397	0	0	11.42742167	48.04650568	LMNA;RAN	
regulation of telomere maintenance via telomerase (GO:0032210)	2/52	0.015489228	0.118324397	0	0	11.19830986	46.6701931	HNRNPU;HNRNPC	
cellular macromolecule catabolic process (GO:0044265)	2/53	0.016059054	0.118324397	0	0	10.97818282	45.35616966	HNRNPD;UBE2G1	
nuclear membrane reassembly (GO:0031468)	2/54	0.016637771	0.118324397	0	0	10.76652221	44.1005339	LMNA;RAN	
regulation of blood vessel endothelial cell migration (GO:0043535)	2/55	0.017225309	0.118324397	0	0	10.56284879	42.89969558	TMSB4X;HMGB1	
positive regulation of transcription by RNA polymerase II (GO:0045944)	8/908	0.017391376	0.118324397	0	0	2.601982906	10.5426645	DDX17;TCERG1;SFPQ;RUVBL2;HNRNPU;HMGB1;AGRN;RBMX	
glycosaminoglycan catabolic process (GO:0006027)	2/56	0.017821597	0.118324397	0	0	10.36671883	41.75034569	CSPG4;AGRN	
positive regulation of amine transport (GO:0051954)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	STX1A	
positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HNRNPU	
"negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)"	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HMGB1	
positive regulation of dendritic cell differentiation (GO:2001200)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HMGB1	
positive regulation of DNA ligation (GO:0051106)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HMGB1	
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000373)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HNRNPU	
regulation of chaperone-mediated protein folding (GO:1903644)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	PDCD5	
"CD4-positive, alpha-beta T cell activation (GO:0035710)"	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HMGB1	
histone-threonine phosphorylation (GO:0035405)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	PKN1	
positive regulation of low-density lipoprotein receptor activity (GO:1905599)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HNRNPK	
ribosome localization (GO:0033750)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	RAN	
regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000371)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HNRNPU	
negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903026)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	TMSB4X	
CRD-mediated mRNA stabilization (GO:0070934)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HNRNPU	
positive regulation of toll-like receptor 9 signaling pathway (GO:0034165)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	HMGB1	
protein localization to axon (GO:0099612)	05-Jan	0.018118916	0.118324397	0	0	69.17708333	277.4553644	EPB41L3	
DNA metabolic process (GO:0006259)	4/277	0.018586303	0.120330288	0	0	4.173488347	16.63272988	HMGB3;HMGB1;MCM6;RAN	
rRNA metabolic process (GO:0016072)	3/162	0.021464132	0.133602055	0	0	5.328301887	20.46798983	RPL18A;RPL34;RPL13	
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	2/62	0.02157919	0.133602055	0	0	9.327230047	35.77949571	PDCD5;HMGB1	
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	06-Jan	0.021703663	0.133602055	0	0	55.33888889	211.9631207	LMNA	
negative regulation of lipoprotein particle clearance (GO:0010985)	06-Jan	0.021703663	0.133602055	0	0	55.33888889	211.9631207	KHSRP	
mRNA 5'-splice site recognition (GO:0000395)	06-Jan	0.021703663	0.133602055	0	0	55.33888889	211.9631207	SRSF1	
protein localization to nucleolus (GO:1902570)	06-Jan	0.021703663	0.133602055	0	0	55.33888889	211.9631207	RAN	
double-strand break repair (GO:0006302)	3/164	0.022159958	0.13530186	0	0	5.261579414	20.04381996	SFPQ;PPP5C;HMGB1	
pre-replicative complex assembly (GO:0036388)	2/64	0.0228986	0.13868426	0	0	9.02544298	34.08620572	PSMA1;MCM6	
positive regulation of catecholamine secretion (GO:0033605)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	STX1A	
regulation of T cell mediated immune response to tumor cell (GO:0002840)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	HMGB1	
positive regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000343)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	HMGB1	
response to lead ion (GO:0010288)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	PPP5C	
ribosomal large subunit export from nucleus (GO:0000055)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	RAN	
ribosomal small subunit export from nucleus (GO:0000056)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	RAN	
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	RAN	
positive regulation of oxidative stress-induced cell death (GO:1903209)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	SFPQ	
delamination (GO:0060232)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	YTHDF2	
modulation by symbiont of host apoptotic process (GO:0052150)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	SFPQ	
regulation of norepinephrine secretion (GO:0014061)	07-Jan	0.025275502	0.140497364	0	0	46.11342593	169.6014749	STX1A	
rRNA processing (GO:0006364)	3/173	0.025442931	0.140497364	0	0	4.980756303	18.28593686	RPL18A;RPL34;RPL13	
regulation of hematopoietic stem cell differentiation (GO:1902036)	2/71	0.027769324	0.143408572	0	0	8.106960604	29.05391449	YTHDF2;PSMA1	
establishment of protein localization to chromatin (GO:0071169)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	RUVBL2	
regulation of RNA biosynthetic process (GO:2001141)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	RALY	
regulation of apoptotic cell clearance (GO:2000425)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	HMGB1	
box C/D snoRNP assembly (GO:0000492)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	RUVBL2	
positive regulation of isomerase activity (GO:0010912)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	HNRNPU	
positive regulation of leukocyte differentiation (GO:1902107)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	HMGB1	
regulation of dopamine receptor signaling pathway (GO:0060159)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	PALM	
regulation of endodeoxyribonuclease activity (GO:0032071)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	HMGB1	
cytoplasmic sequestering of NF-kappaB (GO:0007253)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	TMSB4X	
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	MCM6	
negative regulation by symbiont of host apoptotic process (GO:0033668)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	SFPQ	
negative regulation by symbiont of host programmed cell death (GO:0052041)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	SFPQ	
protein localization to microtubule (GO:0035372)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	HNRNPU	
negative regulation of alpha-beta T cell differentiation (GO:0046639)	08-Jan	0.02883448	0.143408572	0	0	39.52380952	140.1586768	HMGB1	
transcription by RNA polymerase II (GO:0006366)	4/320	0.029570327	0.146100761	0	0	3.597688498	12.6674032	DDX5;CPSF7;ADRM1;RBMX	
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	2/75	0.030722929	0.146493141	0	0	7.661200077	26.68201406	YTHDF2;PSMA1	
RNA transport (GO:0050658)	2/76	0.031480047	0.146493141	0	0	7.557289684	26.13614088	SRSF1;SRSF9	
positive regulation of ATP biosynthetic process (GO:2001171)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	TMSB4X	
regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903025)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	TMSB4X	
regulation of sterol biosynthetic process (GO:0106118)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	RAN	
glycerolipid biosynthetic process (GO:0045017)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	CPNE1	
negative regulation of nitric oxide biosynthetic process (GO:0045019)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	KHSRP	
negative regulation of nitric oxide metabolic process (GO:1904406)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	KHSRP	
positive regulation of ligase activity (GO:0051351)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	TMSB4X	
inositol metabolic process (GO:0006020)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	IMPA1	
neuronal ion channel clustering (GO:0045161)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	AGRN	
T-helper 1 type immune response (GO:0042088)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	HMGB1	
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	CPNE1	
DNA topological change (GO:0006265)	09-Jan	0.032380641	0.146493141	0	0	34.58159722	118.6216059	HMGB1	
glycerophospholipid metabolic process (GO:0006650)	2/80	0.034581508	0.151524928	0	0	7.168291802	24.11726042	CPNE1;PLCD1	
regulation of NIK/NF-kappaB signaling (GO:1901222)	2/80	0.034581508	0.151524928	0	0	7.168291802	24.11726042	TMSB4X;CPNE1	
regulation of interleukin-8 production (GO:0032677)	2/81	0.035374812	0.151524928	0	0	7.077197361	23.65026143	TMSB4X;HMGB1	
negative regulation of intracellular signal transduction (GO:1902532)	3/198	0.035860093	0.151524928	0	0	4.336703297	14.43311334	TMSB4X;CPNE1;PEBP1	
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	HMGB1	
negative regulation of circadian rhythm (GO:0042754)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	SFPQ	
sequestering of actin monomers (GO:0042989)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	TMSB4X	
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	RUVBL2	
mitotic DNA replication (GO:1902969)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	MCM6	
dosage compensation (GO:0007549)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	HNRNPU	
myelin assembly (GO:0032288)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	EPB41L3	
myelin maintenance (GO:0043217)	10-Jan	0.035914031	0.151524928	0	0	30.73765432	102.2527178	EPB41L3	
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	2/83	0.036982519	0.152700465	0	0	6.901756216	22.75722939	PALM;AGRN	
modification-dependent protein catabolic process (GO:0019941)	3/201	0.03723729	0.152700465	0	0	4.27034632	14.05133795	ADRM1;UBE2G1;PCYOX1	
ncRNA processing (GO:0034470)	3/201	0.03723729	0.152700465	0	0	4.27034632	14.05133795	RPL18A;RPL34;RPL13	
regulation of T cell mediated immunity (GO:0002709)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	HMGB1	
regulation of toll-like receptor 9 signaling pathway (GO:0034163)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	HMGB1	
hematopoietic stem cell proliferation (GO:0071425)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	YTHDF2	
inositol phosphate dephosphorylation (GO:0046855)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	IMPA1	
negative regulation of sprouting angiogenesis (GO:1903671)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	EPN1	
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	DDX5	
nuclear DNA replication (GO:0033260)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	MCM6	
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	TCERG1	
V(D)J recombination (GO:0033151)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	HMGB1	
proteasome assembly (GO:0043248)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	ADRM1	
