Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes									
SUMOylation by RanBP2 regulates transcriptional repression	17-Jan	0.060293951	0.177726932	0	0	17.28385417	48.54211058	RAN									
Cells and molecules involved in local acute inflammatory response	17-Jan	0.060293951	0.177726932	0	0	17.28385417	48.54211058	KNG1									
Destabilization of mRNA by KSRP	17-Jan	0.060293951	0.177726932	0	0	17.28385417	48.54211058	KHSRP									
"Endocytotic role of NDK, phosphins and dynamin"	17-Jan	0.060293951	0.177726932	0	0	17.28385417	48.54211058	EPN1									
Eukaryotic protein translation	17-Jan	0.060293951	0.177726932	0	0	17.28385417	48.54211058	EIF1AX									
Glycosaminoglycan metabolism	2/110	0.061212169	0.177726932	0	0	5.169274909	14.43990043	CSPG4;AGRN									
S phase	2/112	0.063177364	0.177726932	0	0	5.074775928	14.01556289	PSMA1;MCM6									
Botulinum neurotoxicity	18-Jan	0.063726788	0.177726932	0	0	16.26633987	44.78367792	STX1A									
CDK regulation of DNA replication	18-Jan	0.063726788	0.177726932	0	0	16.26633987	44.78367792	MCM6									
Nicotinic acetylcholine receptor role in the regulation of apoptosis	18-Jan	0.063726788	0.177726932	0	0	16.26633987	44.78367792	AGRN									
"GABA biosynthesis, release, reuptake and degradation"	19-Jan	0.067147257	0.185208368	0	0	15.36188272	41.49040526	STX1A									
Cell cycle checkpoints	2/117	0.068182695	0.186020179	0	0	4.852908757	13.03279939	PSMA1;MCM6									
Heparan sulfate/heparin glycosaminoglycan (HS-GAG) degradation	20-Jan	0.0705554	0.188397931	0	0	14.55263158	38.58422245	AGRN									
Chondroitin sulfate biosynthesis	20-Jan	0.0705554	0.188397931	0	0	14.55263158	38.58422245	CSPG4									
Prion pathway	21-Jan	0.073951262	0.191358421	0	0	13.82430556	36.00331664	GFAP									
Cytosolic sensors of pathogen-associated DNA	21-Jan	0.073951262	0.191358421	0	0	13.82430556	36.00331664	HMGB1									
PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase	21-Jan	0.073951262	0.191358421	0	0	13.82430556	36.00331664	PKN1									
Interleukin-1 signaling pathway	2/125	0.076452682	0.194110565	0	0	4.535440284	11.66099463	KHSRP;UBE2G1									
CCR3 signaling in eosinophils	22-Jan	0.077334886	0.194110565	0	0	13.16534392	33.69814743	CFL1									
TRAF6 mediated NF-kB activation	22-Jan	0.077334886	0.194110565	0	0	13.16534392	33.69814743	HMGB1									
HIV factor interactions with host	2/128	0.079632621	0.196672674	0	0	4.42678292	11.20122807	PSMA1;RAN									
Post-elongation processing of intronless pre-mRNA	23-Jan	0.080706316	0.196672674	0	0	12.56628788	31.62857298	CPSF7									
Rho cell motility signaling pathway	23-Jan	0.080706316	0.196672674	0	0	12.56628788	31.62857298	CFL1									
Proteasome complex	24-Jan	0.084065595	0.199060985	0	0	12.01932367	29.76174313	PSMA1									
TAK1 activates NF-kappaB by phosphorylation and activation of IKK complex	24-Jan	0.084065595	0.199060985	0	0	12.01932367	29.76174313	HMGB1									
Endogenous Toll-like receptor signaling	24-Jan	0.084065595	0.199060985	0	0	12.01932367	29.76174313	HMGB1									
Mitotic G1-G1/S phases	2/135	0.087209558	0.201289948	0	0	4.192311765	10.22689864	PSMA1;MCM6									
Regulatory RNA pathways	25-Jan	0.087412766	0.201289948	0	0	11.51793981	28.07053167	RAN									
C-Myc pathway	25-Jan	0.087412766	0.201289948	0	0	11.51793981	28.07053167	RUVBL2									
Estrogen receptor transcription factor targets	26-Jan	0.090747873	0.207070146	0	0	11.05666667	26.53235403	DDX5									
Rev-mediated nuclear export of HIV-1 RNA	27-Jan	0.094070957	0.210819734	0	0	10.63087607	25.12826467	RAN									
EGFR downregulation	27-Jan	0.094070957	0.210819734	0	0	10.63087607	25.12826467	EPN1									
Interleukin-5 regulation of apoptosis	2/144	0.097253902	0.212546936	0	0	3.924816505	9.146510818	SFPQ;LMNB1									
Extension of telomeres	28-Jan	0.097382063	0.212546936	0	0	10.23662551	23.8422601	RUVBL2									
PERK-regulated gene expression	28-Jan	0.097382063	0.212546936	0	0	10.23662551	23.8422601	KHSRP									
Integrin beta-2 pathway	29-Jan	0.100681231	0.217853354	0	0	9.870535714	22.66073522	KNG1									
Activation of the pre-replicative complex	30-Jan	0.103968506	0.219294916	0	0	9.529693487	21.57205509	MCM6									
Heparan sulfate/heparin glycosaminoglycan (HS-GAG) biosynthesis	30-Jan	0.103968506	0.219294916	0	0	9.529693487	21.57205509	AGRN									
Interferon-beta enhancer pathway	30-Jan	0.103968506	0.219294916	0	0	9.529693487	21.57205509	HMGB1									
RNA polymerase I promoter opening	31-Jan	0.107243929	0.222464678	0	0	9.211574074	20.56621472	HIST2H2BE									
DNA strand elongation	31-Jan	0.107243929	0.222464678	0	0	9.211574074	20.56621472	MCM6									
Packaging of telomere ends	1/32	0.110507541	0.223688652	0	0	8.913978495	19.63456649	HIST2H2BE									
Prothrombin activation intrinsic pathway	1/32	0.110507541	0.223688652	0	0	8.913978495	19.63456649	KNG1									
Fibrin clot formation (clotting cascade)	1/32	0.110507541	0.223688652	0	0	8.913978495	19.63456649	KNG1									
Syndecan 2 pathway	1/33	0.113759387	0.228428848	0	0	8.634982639	18.76960016	KNG1									
Toll receptor cascades	2/159	0.11467108	0.228432072	0	0	3.547142729	7.682002395	UBE2G1;HMGB1									
Induction of apoptosis through DR3 and DR4/5 death receptors	1/34	0.116999506	0.229428719	0	0	8.372895623	17.964764	LMNA									
Monoamine transport	1/34	0.116999506	0.229428719	0	0	8.372895623	17.964764	STX1A									
Base excision repair	1/35	0.120227941	0.233931885	0	0	8.12622549	17.2143184	HMGB1									
SNARE interactions in vesicular transport	1/36	0.123444733	0.236523878	0	0	7.893650794	16.51321534	STX1A									
Neurotransmitter release cycle	1/36	0.123444733	0.236523878	0	0	7.893650794	16.51321534	STX1A									
Signal transduction through IL-1R	1/38	0.129843556	0.243214421	0	0	7.466216216	15.24172023	PEBP1									
Signaling events mediated by HDAC class II	1/38	0.129843556	0.243214421	0	0	7.466216216	15.24172023	RAN									
Transport of mature mRNAs derived from intronless transcripts	1/38	0.129843556	0.243214421	0	0	7.466216216	15.24172023	RAN									
Aurora B signaling	1/39	0.133025668	0.247329204	0	0	7.269371345	14.66387168	PEBP1									
Nuclear signaling by ErbB4	1/40	0.136196302	0.248072555	0	0	7.082621083	14.12032445	GFAP									
PAC1 receptor pathway	1/40	0.136196302	0.248072555	0	0	7.082621083	14.12032445	PLCD1									
Alpha-M beta-2 integrin signaling	1/41	0.139355499	0.248072555	0	0	6.905208333	13.60828094	HMGB1									
Insulin biosynthesis and processing	1/41	0.139355499	0.248072555	0	0	6.905208333	13.60828094	STX1A									
Bioactive peptide-induced signaling pathway	1/41	0.139355499	0.248072555	0	0	6.905208333	13.60828094	KNG1									
ERBB1 internalization pathway	1/41	0.139355499	0.248072555	0	0	6.905208333	13.60828094	EPN1									
Messenger RNA splicing: minor pathway	1/42	0.1425033	0.251889636	0	0	6.736449864	13.12523238	SRSF1									
G2/M checkpoints	1/43	0.145639745	0.253858166	0	0	6.575727513	12.66892294	MCM6									
Beta-3 integrin cell surface interactions	1/43	0.145639745	0.253858166	0	0	6.575727513	12.66892294	HMGB1									
Interactions of HIV Vpr protein with host cellular proteins	1/44	0.148764874	0.255753311	0	0	6.42248062	12.23731909	RAN									
NCAM1 interactions	1/44	0.148764874	0.255753311	0	0	6.42248062	12.23731909	AGRN									
TGF-beta regulation of extracellular matrix	4/565	0.15142147	0.255849401	0	0	2.001188354	3.77761952	ILF3;RPL18A;RUVBL2;PEBP1									
RNA polymerase III transcription	1/45	0.151878728	0.255849401	0	0	6.276199495	11.82858322	SFPQ									
Deposition of new CENP-A-containing nucleosomes at the centromere	1/45	0.151878728	0.255849401	0	0	6.276199495	11.82858322	HIST2H2BE									
Actions of nitric oxide in the heart	1/47	0.158072771	0.261028062	0	0	6.002717391	11.07321143	KNG1									
Agrin in postsynaptic differentiation	1/47	0.158072771	0.261028062	0	0	6.002717391	11.07321143	AGRN									
Delta Np63 pathway	1/47	0.158072771	0.261028062	0	0	6.002717391	11.07321143	ADRM1									
Activation of chaperones by IRE1 alpha	1/48	0.161153039	0.264375248	0	0	5.874704492	10.72369034	LMNA									
FoxO family signaling	1/49	0.164222192	0.267435335	0	0	5.752025463	10.39123496	RAN									
HIV infection	2/200	0.165633053	0.267435335	0	0	2.806800398	5.046572271	PSMA1;RAN									
Translation factors	1/50	0.167280269	0.267435335	0	0	5.634353741	10.07470124	EIF1AX									
Non-coding RNA metabolism	1/50	0.167280269	0.267435335	0	0	5.634353741	10.07470124	CLNS1A									
Amyloids	1/51	0.170327309	0.270583257	0	0	5.521388889	9.773042438	HIST2H2BE									
DNA replication	2/207	0.174702721	0.274990669	0	0	2.709996565	4.728048317	PSMA1;MCM6									
Androgen receptor regulation of biosynthesis and transcription	1/53	0.176388437	0.274990669	0	0	5.30849359	9.210590394	PKN1									
JNK/MAPK pathway	1/53	0.176388437	0.274990669	0	0	5.30849359	9.210590394	HNRNPK									
Meiotic recombination	1/54	0.179402602	0.277963291	0	0	5.208071279	8.948106135	HIST2H2BE									
RNA polymerase I transcription	1/55	0.182405887	0.279169986	0	0	5.111368313	8.697100141	HIST2H2BE									
Calcineurin-dependent NFAT signaling role in lymphocytes	1/55	0.182405887	0.279169986	0	0	5.111368313	8.697100141	RAN									
Autodegradation of Cdh1 by Cdh1-APC/C	1/58	0.191350847	0.291085228	0	0	4.841617934	8.006325233	PSMA1									
ATF2 transcription factor network	1/59	0.194310997	0.293807591	0	0	4.757902299	7.79484911	RUVBL2									
Interleukin-2 signaling pathway	5/847	0.196578421	0.29545619	0	0	1.666637558	2.711109046	SFPQ;FUBP1;TAGLN2;FLNB;HNRNPAB									
Actin cytoskeleton regulation	2/226	0.199694587	0.298353223	0	0	2.477741449	3.991557583	TMSB4X;CFL1									
Proteasome degradation	1/63	0.206045094	0.304924406	0	0	4.450044803	7.029558795	PSMA1									
Angiotensin II-stimulated signaling through G-proteins and beta-arrestin	1/64	0.208952183	0.304924406	0	0	4.379188713	6.856276122	PLCD1									
Ubiquitin-mediated degradation of phosphorylated Cdc25A	1/64	0.208952183	0.304924406	0	0	4.379188713	6.856276122	PSMA1									
Validated nuclear estrogen receptor alpha network	1/64	0.208952183	0.304924406	0	0	4.379188713	6.856276122	DDX17									
Carbohydrate metabolism	2/235	0.211684089	0.306855401	0	0	2.380946624	3.696801207	CSPG4;AGRN									
Beta-1 integrin cell surface interactions	1/66	0.2147349	0.306855401	0	0	4.244017094	6.528788087	CSPG4									
Semaphorin interactions	1/66	0.2147349	0.306855401	0	0	4.244017094	6.528788087	CFL1									
G1 to S cell cycle control	1/67	0.217610603	0.306855401	0	0	4.179503367	6.373943403	MCM6									
Telomerase regulation	1/67	0.217610603	0.306855401	0	0	4.179503367	6.373943403	HNRNPC									
cAMP cell motility pathway inferred from amoeba model	1/67	0.217610603	0.306855401	0	0	4.179503367	6.373943403	PLCD1									
Activation of NF-kappaB in B cells	1/68	0.220475919	0.308532934	0	0	4.116915423	6.224639435	PSMA1									
Antiviral mechanism by interferon-stimulated genes	1/70	0.226175537	0.308532934	0	0	3.997181965	5.94158662	FLNB									
CDC42 signaling events	1/70	0.226175537	0.308532934	0	0	3.997181965	5.94158662	CFL1									
Signaling events mediated by HDAC class I	1/70	0.226175537	0.308532934	0	0	3.997181965	5.94158662	RAN									
Complement and coagulation cascades	1/70	0.226175537	0.308532934	0	0	3.997181965	5.94158662	KNG1									
NCAM signaling for neurite out-growth	1/70	0.226175537	0.308532934	0	0	3.997181965	5.94158662	AGRN									
Rac1 cell motility signaling pathway	1/71	0.229009913	0.310710746	0	0	3.939880952	5.807345083	CFL1									
Cyclin A-Cdk2-associated events at S phase entry	1/72	0.231834048	0.312851323	0	0	3.884194053	5.677656463	PSMA1									
Degradation of beta-catenin by the destruction complex	1/73	0.23464798	0.31495531	0	0	3.830054012	5.552309979	PSMA1									
Wnt/calcium/cyclic GMP pathway	1/74	0.237451744	0.316819249	0	0	3.77739726	5.431107245	PLCD1									
"Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins"	2/255	0.238561108	0.316819249	0	0	2.1905027	3.139274663	PSMA1;UBE2G1									
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/75	0.240245378	0.317376789	0	0	3.726163664	5.313861393	LMNA									
RIG-I/MDA5-mediated induction of interferon-alpha/beta pathways	1/76	0.243028917	0.318789347	0	0	3.676296296	5.200396261	HMGB1									
Hemostasis pathway	3/468	0.2438548	0.318789347	0	0	1.793732719	2.53128389	TMSB4X;CFL1;KNG1									
Apoptosis regulation	1/78	0.248565853	0.322639972	0	0	3.58044733	4.984152639	PSMA1									
FSH regulation of apoptosis	2/263	0.249371134	0.322639972	0	0	2.122497437	2.947752023	AKAP12;YTHDF2									
Antigen processing: cross presentation	1/79	0.251319322	0.322983089	0	0	3.534366097	4.881068968	PSMA1									
Apoptosis modulation and signaling	1/80	0.254062839	0.322983089	0	0	3.489451477	4.781154446	HN1									
Nuclear beta-catenin signaling and target gene transcription regulation	1/80	0.254062839	0.322983089	0	0	3.489451477	4.781154446	RUVBL2									
Interleukin-4 regulation of apoptosis	2/267	0.254783473	0.322983089	0	0	2.090034547	2.857790391	MCM6;HIST2H2BE									
APC/C-mediated degradation of cell cycle proteins	1/82	0.25952016	0.324077414	0	0	3.402949246	4.590309328	PSMA1									
ATM-dependent DNA damage response	1/82	0.25952016	0.324077414	0	0	3.402949246	4.590309328	HMGB1									
Regular glucocorticoid receptor pathway	1/82	0.25952016	0.324077414	0	0	3.402949246	4.590309328	PPP5C									
Differentiation pathway in PC12 cells	1/84	0.264938098	0.32758356	0	0	3.320615797	4.410638057	PLCD1									
ECM-receptor interaction	1/84	0.264938098	0.32758356	0	0	3.320615797	4.410638057	AGRN									
Myc active pathway	1/85	0.267632386	0.329292789	0	0	3.280919312	4.324714046	RUVBL2									
HIF-1 degradation in normoxia	1/88	0.275656944	0.337511672	0	0	3.167305236	4.081383649	PSMA1									
Neural crest differentiation	1/91	0.283594767	0.345545081	0	0	3.061265432	3.85783405	GFAP									
Signaling by ERBB4	1/93	0.288838921	0.350234634	0	0	2.994414251	3.718721471	GFAP									
Fc gamma receptor-mediated phagocytosis	1/94	0.291446782	0.351454037	0	0	2.962066906	3.651925938	CFL1									
G-protein signaling pathways	1/95	0.29404521	0.351454037	0	0	2.930407801	3.586882881	AKAP12									
"RNA polymerase I, RNA polymerase III, and mitochondrial transcription"	1/95	0.29404521	0.351454037	0	0	2.930407801	3.586882881	HIST2H2BE									
TSH regulation of gene expression	1/97	0.299213902	0.355936917	0	0	2.869068287	3.461807953	HMGB1									
Downstream signaling events Of B cell receptor (BCR)	1/98	0.301784233	0.357301144	0	0	2.839347079	3.401659824	PSMA1									
Granule cell survival pathway	1/99	0.304345266	0.358641605	0	0	2.810232426	3.343031357	PLCD1									
Dilated cardiomyopathy	1/100	0.306897033	0.35995867	0	0	2.781705948	3.285870637	LMNA									
MAPK signaling pathway	2/314	0.318313175	0.371612126	0	0	1.77094619	2.02723673	PPP5C;FLNB									
Axon guidance	2/325	0.333058021	0.386753193	0	0	1.709676013	1.879683746	CFL1;AGRN									
Signaling by EGFR in cancer	1/111	0.334364314	0.386753193	0	0	2.502146465	2.741161804	EPN1									
CXCR4 signaling pathway	1/116	0.346491809	0.398942404	0	0	2.392753623	2.536070231	CFL1									
HIV life cycle	1/118	0.351281554	0.402610366	0	0	2.351614435	2.460181957	RAN									
Integration of energy metabolism	1/125	0.367774581	0.419597362	0	0	2.218077957	2.218710289	STX1A									
Parkinson's disease	1/131	0.381581782	0.432658738	0	0	2.115064103	2.037716378	UBE2G1									
Adipogenesis	1/133	0.386117758	0.432658738	0	0	2.082807239	1.982026202	LMNA									
Membrane trafficking	1/133	0.386117758	0.432658738	0	0	2.082807239	1.982026202	ARCN1									
Tight junction	1/133	0.386117758	0.432658738	0	0	2.082807239	1.982026202	EPB41L3									
Ubiquitin-mediated proteolysis	1/136	0.392860261	0.438257446	0	0	2.036213992	1.902437382	UBE2G1									
Adrenergic pathway	1/137	0.395091489	0.4387963	0	0	2.021139706	1.876906979	PLCD1									
Systemic lupus erythematosus	1/139	0.399529711	0.439833147	0	0	1.991646538	1.827270265	HIST2H2BE									
p53 signaling pathway	1/139	0.399529711	0.439833147	0	0	1.991646538	1.827270265	DDX5									
Signaling by the B cell receptor (BCR)	1/151	0.42549248	0.466369487	0	0	1.831203704	1.564778221	PSMA1									
Integrated breast cancer pathway	1/152	0.427605381	0.466647612	0	0	1.818984547	1.545326536	IMPA1									
Myometrial relaxation and contraction pathways	1/155	0.433898205	0.471465149	0	0	1.783279221	1.488940646	PLCD1									
