DCX_YFP(-)_tp1_s.1	DCX_YFP(-)_tp1_s.2	DCX_YFP(-)_tp1_s.3	DCX_YFP(-)_tp2_s.1	DCX_YFP(-)_tp2_s.2	DCX_YFP(-)_tp2_s.3	DCX_YFP(-)_tp3_s.1	DCX_YFP(-)_tp3_s.2	DCX_YFP(-)_tp3_s.3	DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(-)_tp1_s.1	SOX2_YFP(-)_tp1_s.2	SOX2_YFP(-)_tp1_s.3	SOX2_YFP(-)_tp2_s.1	SOX2_YFP(-)_tp2_s.2	SOX2_YFP(-)_tp2_s.3	SOX2_YFP(-)_tp3_s.1	SOX2_YFP(-)_tp3_s.2	SOX2_YFP(-)_tp3_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
VPS45	-2.357491	-2.226609	-2.611074	-3.303437	-3.53743	-3.89844	-2.464546	-1.910666	-2.801106	-2.196437	-2.780923	-5.264225	-4.803089	-2.539237	-2.533739	-1.788132	-2.982671	-2.860167	-2.149758	-2.330862	-2.24975	-2.668699	-2.04511	-4.970157	-1.468076	-3.542578	-3.131754	-2.094714	-2.806928	-2.390342	-2.226051
CTNNBL1	-1.529708	-1.300324	-2.359417	-4.304639	-1.907417	-3.57771	-4.088147	-2.290511	-2.281264	-5.51837	-4.584678	-5.040176	-3.667826	-1.945489	-4.72558	-2.627592	-3.204865	-3.101959	-3.774765	-1.840919	-2.828043	-3.364342	-0.6407307	-1.300041	-5.329309	-3.656211	-1.515798	-2.350878	-1.460113	-2.355843	-2.855856
SPCS2	-1.91351	-1.685765	-1.445496	-2.724683	-2.267094	-4.866096	-2.491275	-4.481284	-1.333896	-3.739048	-3.348716	-4.310913	-3.009731	-4.08497	-2.202667	-3.990256	-0.8727372	-1.618337	-2.06773	-3.022058	-4.00697	-4.854783	-2.390329	-4.200059	-4.010613	-3.832799	-3.455055	-2.277558	-2.484544	-1.708905	-1.679872
HEXA	-3.238024	-2.940785	-2.422764	-2.950613	-2.573714	-4.541118	-2.529236	-2.22139	-1.912694	-3.758736	-3.484545	-3.372258	-2.76341	-3.051045	-5.266459	-3.142679	-2.958519	-3.149286	-4.333262	-2.739656	-1.919594	-2.13448	-3.774924	-2.288038	-4.451283	-2.649457	-2.540279	-2.555427	-2.941163	-2.933172	-2.697076
HNRNPDL	2.519235	2.427805	2.489082	2.230036	2.400139	1.821067	1.926701	1.64767	1.880689	1.949439	2.217094	2.823695	1.952909	3.052074	2.604532	2.985178	2.004451	2.619223	2.620772	2.191742	1.92409	2.349938	2.324544	2.220963	2.114437	2.095213	2.705458	2.636225	2.766151	2.879095	2.529353
PSMB3	1.0623	0.7021285	0.7557716	0.2747138	0.833512	0.2355819	0.8657017	-0.4874263	0.6808086	0.6919746	0.5934699	1.407737	0.1281045	1.379719	0.6952497	0.4847857	1.147462	1.021416	1.043966	1.402699	1.142394	1.181687	0.2738848	-1.874428	0.2640956	1.178578	1.017242	0.8441784	0.672092	1.192828	0.9404981
SLIRP	-1.407394	-1.460748	-1.622834	-0.8132673	-1.479454	-2.456539	-1.164541	-3.853357	-0.99726	-2.32984	-3.59475	-1.56341	-1.505606	-1.632773	-1.394235	-3.401222	-1.584299	-0.7928525	-0.8662754	-1.706379	-0.672057	-1.012346	-1.978483	-0.7458106	-4.305673	-2.221182	-1.199037	-1.017916	-1.681103	-1.128996	-0.642492
GPX1	0.3213097	-0.9601746	0.04046481	-1.119447	-1.028185	-1.876965	-2.339006	-1.139899	-0.8309505	-1.995248	-1.7447	-0.8506949	-2.001498	-1.051521	-0.7497655	-1.839465	-1.689871	-0.6704252	-0.7751719	-0.9693353	-2.224862	0.2078936	1.354989	1.42991	0.0733076	-1.568938	-0.8335907	-0.297576	-0.07369856	0.4918367	0.09862475
RPS24	1.809113	1.934618	1.829772	1.409055	1.488999	1.736055	2.02345	1.96101	2.312821	1.814965	1.771557	2.118657	2.40049	2.058074	1.748048	2.675203	2.118301	2.258245	2.40206	1.910064	2.804792	2.253466	3.414848	3.780894	3.326043	1.99237	1.788991	1.398413	1.029815	1.798281	1.959333
MYEF2	0.7667977	0.9277427	0.8633752	1.224521	0.7427408	0.5608796	-0.1970653	-0.286745	-0.5855592	0.7429042	0.1979237	1.259013	0.4651974	1.453659	1.540414	1.088993	-2.790065	-0.8763834	-0.2711242	0.5691857	0.5250215	0.2569888	-0.07585581	0.3684725	1.297915	0.8354105	1.125914	1.101084	1.149879	1.166769	1.140913
EIF5B	-0.8839742	-0.2176661	-1.319474	-1.981534	-1.63951	-2.812846	-1.06815	-3.504969	-0.9441949	-3.95907	-2.850185	-1.470289	-3.216247	-1.209066	-3.239095	-2.909418	-1.885124	-1.362528	-1.600616	-3.25586	-0.9521233	-3.058496	-1.766597	-4.349683	-3.194557	-2.701202	-3.063325	-1.132633	-1.563857	-0.2330903	-1.787785
SPTBN1	2.657852	2.308809	2.608997	2.20906	2.605345	1.02143	3.367176	3.371264	3.640143	3.556438	3.490158	3.034174	2.906644	2.067627	2.451806	1.94827	3.370458	3.505623	3.423738	3.049987	2.679868	3.416174	3.004164	1.962862	2.390543	1.988962	2.568946	2.239179	2.23653	2.561045	2.729684
MYCBP	-2.021509	-2.064704	-2.053529	-3.25363	-1.743793	-5.004909	-3.811278	-1.295978	-1.808671	-4.100447	-3.800652	-3.647939	-1.898003	-4.475185	-4.058967	-4.067276	-2.305631	-2.274015	-2.039119	-2.261723	-4.411438	-1.895908	-3.705729	-4.129881	-3.661185	-1.24813	-1.582493	-1.020064	-2.550534	-2.179008	-1.987811
ZMYND8	-1.972401	-2.177079	-1.779037	-1.937703	-2.562144	-2.837106	-4.574727	-3.379742	-2.70944	-5.15271	-5.198446	-2.583763	-2.137154	-1.883333	-1.212291	-1.670597	-1.201041	-1.912353	-1.356434	-1.889126	-4.158593	-1.885485	-1.158333	-1.38261	-0.5782968	-1.463835	-1.449869	-1.094633	-0.9008244	-2.135521	-1.709504
CLTC	4.602618	4.649743	4.675703	4.588206	4.52796	4.198403	4.89095	4.511688	5.25079	5.213373	5.129162	5.140331	4.78929	4.877105	4.747742	4.687878	4.84271	4.983745	4.780684	5.114193	4.983375	5.073775	4.648564	3.560151	4.416101	4.728357	4.646457	4.583663	4.589833	4.816899	4.815734
SSBP3	-1.688478	-2.793907	-1.981224	-1.824492	-2.081701	-5.140364	-3.526281	-4.770697	-2.452921	-1.750912	-1.450532	-0.3313138	-0.3924355	0.2238419	-1.289645	-0.9539578	-1.623532	-1.782951	-1.148552	-1.858506	-1.980276	-0.9702455	-2.483447	-0.4623369	-4.87099	-3.053765	-1.804897	-2.239061	-2.143329	-1.975741	-2.549578
MECP2	-2.944212	-2.26483	-1.930743	-0.7491816	-1.154343	-0.7525913	-2.106982	-0.8252132	-2.000035	-2.060483	-0.8537712	-2.36733	-2.153406	-1.2659	-0.5805504	-2.202592	-2.04209	-2.915768	-4.029699	-2.074504	-0.904928	-1.543593	-3.369336	-4.847764	-3.754675	-1.45658	-4.561039	-2.301734	-1.357342	-2.645397	-2.243349
SH3GLB1	-0.9430127	-0.9757786	-0.7816437	-2.036445	-0.3859482	-1.089683	-4.194343	-1.487298	-0.5891023	-0.1923519	-0.4698191	-0.6409098	-1.6441	-0.7844168	-0.5134348	-2.121386	-0.7946228	-2.214145	-0.2611999	-0.3772827	-0.6324033	-0.5099262	-1.001309	-3.02218	-0.6486428	-0.9234574	-2.103109	-0.9857292	-0.6946353	-1.272065	-0.843215
NOMO1	-0.695911	-1.073074	0.9138786	1.802566	1.392369	2.310378	2.363119	0.4444348	1.246086	1.565411	0.7581923	1.178487	2.650217	0.4222972	0.5385209	1.779424	1.736361	1.444147	1.11794	1.876253	2.134443	1.434078	-2.031158	-4.259965	1.004051	2.123838	1.11265	0.2254016	0.9176501	0.1891236	0.6253345
PSMD1	1.724121	2.098702	1.515852	1.459123	1.792068	0.9796679	1.416775	1.319822	1.455328	1.377086	0.5305097	1.480811	0.8830994	1.59712	2.102893	0.7670673	1.470413	1.715672	1.415154	1.908855	1.432649	1.581516	1.319868	-0.4955334	1.853377	0.6275424	1.564099	1.55103	1.9038	1.765752	1.863148
LLGL1	-1.392011	-0.9794698	-0.9983013	-2.84183	-1.324767	-0.5877466	-1.02384	-2.118544	-1.646746	0.2579647	0.2641428	-3.193937	-0.0791151	-1.302853	-3.013842	-1.683232	-0.4777865	-0.5299937	-4.221438	-1.709608	-0.3605161	-0.4591276	-1.485909	-6.223442	-2.60428	-0.5972434	-0.393657	-1.279147	-0.4360556	-0.4514438	-0.4604787
POLD2	-0.1786171	-0.2183638	-0.4634452	-0.7832791	-0.873739	-2.246532	-1.343963	-2.959902	-2.343472	-2.05408	-1.849111	-2.331093	-2.234022	-2.115867	-1.250184	-2.366224	-1.983964	-2.452924	-1.195593	-2.108246	-2.808349	-2.581298	-3.404086	-3.230734	-0.7429664	-1.888311	-1.029226	-0.8744743	-0.5313565	-0.02596338	-0.2762771
RPL17	2.00528	1.998189	1.979409	1.288479	1.671661	1.641626	2.107234	2.086576	2.1989	1.208187	1.033828	1.609304	1.906471	1.383929	1.202814	1.739056	2.037065	1.381744	1.739916	1.708349	2.195055	1.289461	2.689968	2.428589	2.089139	1.161535	1.033338	1.447572	1.016533	1.393506	1.378801
NDUFA10	-1.442457	-1.751831	-4.511537	-3.454346	-0.5475004	-3.661439	-5.44943	-2.199579	-0.9898183	-0.7625386	-1.057809	-0.5205167	-2.024792	-4.101556	-2.07546	-0.06642425	-1.290058	-0.8565285	-1.157788	-1.151732	-0.9277026	-1.369637	-0.4545297	-0.938337	-5.504379	-0.7997917	-1.28262	-3.416631	-2.570993	-1.732889	-1.39169
ASNA1	-1.083954	-0.247144	-1.168049	-0.7520522	0.1284647	-2.810477	1.109179	-0.3629499	0.1831373	-0.7333339	-1.295964	0.45077	-0.3975035	-1.382777	-0.05186644	-1.16971	-0.5936298	-0.5192693	-0.976655	-1.188432	-1.425105	-1.05857	-0.9541954	-2.093871	-0.04608929	-0.822631	-0.3209489	-0.4464387	0.6378818	0.6428038	-0.5329177
SREK1	-1.230644	-3.834497	-1.233195	-0.9650789	-1.489227	-4.722671	-5.304256	-3.460285	-1.728678	-3.912037	-2.071857	-0.9345312	-2.713995	-0.9973174	-1.257328	-1.923026	-1.497446	-2.283932	-1.85692	-3.345859	-1.813962	-1.363394	-1.841902	-2.096349	-4.213377	-4.049714	-2.284074	-2.50373	-1.324249	-1.898538	-1.021718
VTA1	-0.1063893	0.07892422	-0.1069077	-3.017133	-1.969045	-4.49202	-2.455721	-2.8475	-0.5020717	-1.178556	-1.204638	-0.9398782	-3.796126	-1.313761	0.004307635	-3.594163	-1.095041	-2.265521	-0.4811913	-5.88986	-2.189713	-0.8894692	-1.13487	-4.140149	-4.067101	-4.399615	-0.5873537	-0.7121361	0.1325538	0.1475564	-1.058354
NUMA1	3.886974	3.714311	3.965127	3.306759	3.474886	2.656178	3.08698	3.157317	3.490134	2.631132	2.744488	3.284531	2.94298	3.337323	3.658485	2.764797	4.121668	4.137063	3.836465	3.282534	3.165157	3.598742	2.507935	0.1525747	1.662589	2.855461	2.771008	3.603348	3.676775	3.81119	3.700041
DACH1	-1.504252	-0.7749169	-1.137015	-1.826477	-2.539201	-1.282242	-2.946857	-3.448044	-1.894817	-3.40471	-3.226423	-2.071002	-2.320678	-3.294334	-2.425515	-3.03545	-3.291443	-3.208344	-2.857772	-2.89242	-4.473041	-2.934813	-5.478309	-4.653131	-4.02387	-1.992833	-1.435752	-1.157776	-0.8150611	-0.313867	-1.688767
AP2M1	-2.9231	-2.345392	-2.747845	-4.695527	-3.74356	-5.215338	-2.924328	-3.140918	-2.691072	-1.652626	-0.9065917	-2.177079	-3.52958	-2.361093	-2.491849	-1.389215	-2.697425	-2.017778	-4.293696	-2.47976	-3.01092	-4.434186	0.907932	0.8932171	-2.292308	-5.502446	-3.703754	-3.392581	-3.235338	-4.720617	-3.468336
UBE2D2	0.2171359	-0.2697224	-0.5909347	-4.073191	-1.964649	-4.408309	-2.437594	-4.101272	-1.826797	-1.488292	-0.956436	-0.1557337	-0.6971076	0.4502907	-0.06466202	-0.4034322	-0.9138555	0.520363	-1.439857	-0.4827678	-1.286765	-1.114997	-2.006128	-3.854848	-5.409824	-1.226248	0.7878029	-0.4239011	-0.6135038	0.333487	-0.3226917
PDLIM3	-1.985025	-2.887686	-2.312582	-0.6064771	-0.6245346	-4.765578	-0.9225229	-1.394949	-1.283269	-3.324097	-3.58902	-0.3829427	-5.687695	-3.486426	-3.533052	-3.651876	-2.2622	-3.248415	-3.899475	-2.041695	-0.4885637	-2.029987	0.2286944	-0.8898301	0.1762192	-3.399425	-2.509144	-3.492052	-0.3520715	-0.8372746	-1.322596
SELH	-0.1943581	-0.2736615	0.08723255	-0.423726	-1.048813	-2.536454	-1.017835	-2.58874	-1.287845	0.5314411	-2.260847	-4.983264	-1.66176	-0.02421302	-0.7125703	-0.3103365	-0.5888131	-0.3006574	-0.8125086	-0.155181	-0.5560758	-0.9512192	-1.806479	-5.175251	-1.412012	-1.261459	0.3247638	-0.08771595	-0.2253422	-0.1086645	-0.6599293
TPD52L2	0.5054833	0.7781935	0.7738838	-0.3484966	0.1425377	-0.1826009	-0.7328057	-0.515565	0.8866117	0.09222099	0.1586474	0.02978569	0.4157688	-0.9072391	0.6055688	0.1379678	0.9743699	0.05013537	0.6180205	0.5004501	-0.2079727	-0.01691961	0.2010659	-0.3149819	-0.7022331	0.6151139	0.4772451	0.4003374	0.4271532	0.5145106	0.5767762
UGP2	0.3127313	-0.1758601	0.5277884	-1.20678	-0.3881214	-0.9176532	0.2730649	0.0742545	-0.2217465	-0.3436605	-1.183605	-0.6218787	-0.2887723	-0.6574299	-0.9629681	-1.36555	-0.1243649	-0.2723826	0.6626512	-0.05408342	0.4409451	0.03135882	-0.1722941	-0.3451674	-2.819098	0.6750111	0.9967291	0.07323433	-0.147462	-0.1871703	0.3827056
PTGES3	3.056452	2.831899	3.020723	2.542195	1.805192	1.165305	1.553748	1.286158	2.664364	1.33705	2.057989	1.781312	1.916352	2.489079	2.608529	1.224864	2.44592	2.294795	0.2426438	2.794799	1.926755	2.588827	0.03795058	-4.369605	1.077321	2.312149	2.796964	2.720026	3.401315	3.104028	2.923728
RAVER1	-0.975214	-1.962844	-0.8569595	-3.835208	-3.64737	-3.719583	-3.24021	-3.473652	-1.992877	-3.955855	-4.203928	-3.296633	-4.00352	-4.257938	-4.944364	-3.753788	-2.452222	-2.631702	-2.498813	-4.600782	-4.924001	-3.616656	-0.2968771	1.089359	-1.954694	-2.683877	-2.261922	-1.67259	-1.275303	-0.7598553	-0.41102
BRCC3	-3.763481	-4.489312	-3.609324	-4.109147	-3.586228	-3.35966	-3.889275	-3.966588	-4.534142	-3.784051	-3.904658	-3.106327	-3.448915	-3.822271	-3.852432	-3.004499	-4.11145	-2.868954	-3.734126	-4.287192	-3.87009	-2.759621	-1.361202	-1.616333	-0.9352904	-3.365718	-3.743835	-3.953232	-4.239298	-4.146114	-3.738692
HYOU1	2.261046	1.916659	2.257495	1.124337	2.037263	0.6140233	1.955234	1.166478	2.208659	1.573369	1.14103	2.132511	1.134016	1.848114	1.922982	0.9301006	2.143398	2.21279	1.778379	1.757836	1.535566	1.842992	2.883569	2.590912	2.139573	2.639824	2.980682	2.784292	2.078059	2.322683	2.816924
RBM26	-1.324436	-0.9256182	-1.386306	-3.3273	-1.402559	-4.052325	-4.071847	-4.525446	-0.7191375	-4.562716	-3.353917	-4.296243	-1.440776	-2.68976	-1.271461	-4.40916	-2.128314	-3.97356	-3.916749	-3.215027	-4.424336	-2.168787	-3.332425	-4.797176	-2.759614	-4.177381	-4.07871	-2.01685	-1.781144	-1.38137	-0.8412697
TJP1	-2.898775	-1.090649	-0.9957237	-1.766858	-1.930296	-3.588301	-2.117418	-0.7820548	-2.33865	-4.642435	-3.996841	-1.835879	-1.555544	-4.030958	-6.655215	-4.354241	-2.522477	-1.253731	-1.194132	-2.251	-2.811433	-1.736878	-1.473939	-5.466548	-1.057573	-1.376219	-4.592187	-1.549328	-0.885742	-3.636988	-1.688239
SNX12	-0.5826127	-1.580727	-1.620659	-3.222731	-0.8648578	-3.649713	-0.7226087	-1.576278	-0.3184823	-1.153433	-1.262173	-0.6447364	-0.9390645	-0.2914886	-0.6897699	-0.9569136	-1.534474	-2.037581	-0.6788802	-0.842625	-0.5686715	-2.21531	-3.327662	-2.934523	-3.465332	-0.5548916	-1.510945	-0.8990765	-1.556145	-0.6739606	-0.6195898
COL6A1	-1.367266	-1.546122	-2.682475	-1.545881	-1.628661	-4.279426	-0.9247575	-2.6631	-1.150791	-2.314656	-2.083758	-2.797343	-2.60072	-4.181707	-2.479837	-3.266204	-0.4282792	-0.9114016	-1.254431	-1.644351	-0.9249605	-0.04183882	-4.717221	-4.528002	-4.36888	-3.701564	-2.40181	-2.849953	-3.545231	-2.90893	-1.83992
STAU1	-1.884496	-2.50104	-2.16519	-3.697482	-3.546451	-4.018784	-1.866237	-2.231388	-3.761548	-2.552698	-3.048779	-4.203527	-2.783752	-3.041578	-2.306025	-3.302761	-1.959728	-2.983473	-2.685588	-4.41529	-5.357351	-1.80335	-2.542543	-4.958901	-2.367082	-3.201514	-3.865973	-2.229322	-2.154115	-2.24971	-2.336155
X15.Sep	-0.526556	-1.492436	-0.4318506	-1.051188	-0.4270394	-1.337113	-1.427327	-1.268907	-0.8410522	-1.014661	-1.687331	-1.594253	-1.56922	-1.497807	-0.8830048	-0.874958	-1.032522	-0.9575417	-2.821303	-1.70867	-1.843728	-1.797591	-0.6958988	-0.7643582	-0.8795259	-0.5985708	0.01270825	-0.8266475	-1.539361	-0.8275546	-0.4097914
NEB	-0.9464831	0.7103515	1.18153	0.833526	-0.4418281	1.102595	-1.316709	-1.633999	0.3207546	-0.6644193	-0.710498	0.2946506	-0.608018	-3.604885	-1.046493	-1.160129	-2.1686	-0.3126492	-3.934681	0.06083369	-0.7875574	-1.012887	-0.8321236	-5.617456	-4.635735	-1.743932	-0.8010179	-1.274262	-1.875099	-0.4211529	-0.79395
PSME2	1.163041	-0.4787239	-0.1929877	-0.6939376	0.2140368	-0.8924319	1.301315	-0.3977361	1.088886	0.3893579	0.9590253	0.0149796	0.222899	1.460669	-0.2884639	1.465533	1.04583	2.081336	0.6073815	-0.2879907	-0.2913261	0.3275987	1.995376	1.186435	-2.701113	-0.7105464	1.080805	-0.2020448	-0.2159712	0.4113443	0.3926648
CNN2	1.069322	0.4993806	0.8814098	-1.158182	0.3558655	-1.739974	-0.105407	0.3516451	0.7718496	-0.6698428	-0.7200725	-0.4496081	-0.362353	-0.1156669	0.07873676	-1.206416	1.629245	2.04413	1.474781	0.7025135	0.5032451	1.082278	1.585128	0.520599	0.5029129	0.01066971	0.7173384	0.540707	-0.04786993	0.7289491	0.5600473
RBFOX1	-1.665889	-1.919981	-1.760366	-1.053521	-1.68935	-1.292895	-1.45173	-1.378981	-1.056465	-0.8478994	-0.8663017	-0.4965561	-0.7418478	0.8485509	-0.1265185	0.4193551	0.04104031	-0.005575953	0.02652311	-0.08182406	0.3118871	-0.2564394	-0.4007148	-1.765865	0.3787382	-0.9978269	-1.272935	-1.446663	-2.247408	-2.298355	-2.190538
