"class"	"rank"	"dataSetID"	"dataSetName"	"inGroups"	"pValue"	"Bonferroni"	"FDR"	"nCommonGenes"	"fracOfEffectiveClassSize"	"expectedFracOfEffectiveClassSize"	"enrichmentRatio"	"classSize"	"effectiveClassSize"	"fracOfEffectiveSetSize"	"effectiveSetSize"	"shortDataSetName"	"overlapGenes"
"11"	"black"	11	"GO:0045047"	"protein targeting to ER"	"GO|GO.BP|GO"	3.06529445221404e-17	8.3792889145723e-12	6.98274076214359e-13	25	0.36231884057971	0.0528800755429651	6.85170807453416	69	69	0.446428571428571	56	"protein targeting to ER"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
"12"	"black"	12	"GO:0006612"	"protein targeting to membrane"	"GO|GO.BP|GO"	8.80621968102046e-17	2.40726821200375e-11	1.85174477846443e-12	25	0.36231884057971	0.0547686496694995	6.61544227886057	69	69	0.431034482758621	58	"protein targeting to membrane"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
"13"	"black"	13	"GO:0006413"	"translational initiation"	"GO|GO.BP|GO"	4.12082625814079e-16	1.12646906592537e-10	8.04620761375262e-12	27	0.391304347826087	0.068932955618508	5.67659321024419	69	69	0.36986301369863	73	"translational initiation"	"1654 (DDX3X)|3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10657 (KHDRBS1)|23521 (RPL13A)"
"14"	"black"	14	"GO:0019080"	"viral gene expression"	"GO|GO.BP|GO"	6.26063080835603e-16	1.71140603777221e-10	1.12939879345184e-11	25	0.36231884057971	0.0585457979225685	6.18863955119215	69	69	0.403225806451613	62	"viral gene expression"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
"15"	"black"	15	"GO:0000956"	"nuclear-transcribed mRNA catabolic process"	"GO|GO.BP|GO"	6.6104699645996e-16	1.80703806952295e-10	1.12939879345184e-11	26	0.376811594202899	0.0642115203021719	5.86828644501279	69	69	0.382352941176471	68	"nuclear-transcribed mRNA catabolic process"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)|55110 (MAGOHB)"
"16"	"black"	16	"GO:0090150"	"establishment of protein localization to membrane"	"GO|GO.BP|GO"	1.65077311584757e-15	4.51255338948091e-10	2.65444317028289e-11	28	0.405797101449275	0.0783758262511804	5.17757988475642	69	69	0.337349397590361	83	"establishment of protein localization to membrane"	"2810 (SFN)|3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|10890 (RAB10)|23521 (RPL13A)"
"17"	"black"	17	"GO:0006605"	"protein targeting"	"GO|GO.BP|GO"	2.66291712743832e-13	7.27935025956538e-08	4.04408347753632e-09	26	0.376811594202899	0.0793201133144476	4.75051759834369	69	69	0.30952380952381	84	"protein targeting"	"3329 (HSPD1)|3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
"18"	"black"	18	"GO:0006412"	"translation"	"GO|GO.BP|GO"	8.1727043690482e-13	2.23409046632302e-07	1.17583708753843e-08	31	0.449275362318841	0.119924457034939	3.74631975350907	69	69	0.244094488188976	127	"translation"	"1654 (DDX3X)|1994 (ELAVL1)|3921 (RPSA)|4691 (NCL)|4904 (YBX1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|10657 (KHDRBS1)|23521 (RPL13A)"
"19"	"black"	19	"GO:0006402"	"mRNA catabolic process"	"GO|GO.BP|GO"	9.0394664598252e-13	2.47102855145782e-07	1.17668026259896e-08	30	0.434782608695652	0.112370160528801	3.86919985385459	69	69	0.252100840336134	119	"mRNA catabolic process"	"1994 (ELAVL1)|3921 (RPSA)|4904 (YBX1)|6050 (RNH1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)|23589 (CARHSP1)|55110 (MAGOHB)"
"20"	"black"	20	"GO:0072594"	"establishment of protein localization to organelle"	"GO|GO.BP|GO"	9.0394664598252e-13	2.47102855145782e-07	1.17668026259896e-08	30	0.434782608695652	0.112370160528801	3.86919985385459	69	69	0.252100840336134	119	"establishment of protein localization to organelle"	"1994 (ELAVL1)|2810 (SFN)|3329 (HSPD1)|3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|9555 (MACROH2A1)|10890 (RAB10)|23521 (RPL13A)"
"21"	"black"	21	"GO:0043043"	"peptide biosynthetic process"	"GO|GO.BP|GO"	1.65326475412218e-12	4.51936453186839e-07	2.05425660539472e-08	31	0.449275362318841	0.12275731822474	3.65986622073579	69	69	0.238461538461538	130	"peptide biosynthetic process"	"1654 (DDX3X)|1994 (ELAVL1)|3921 (RPSA)|4691 (NCL)|4904 (YBX1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|10657 (KHDRBS1)|23521 (RPL13A)"
"22"	"black"	22	"GO:0006401"	"RNA catabolic process"	"GO|GO.BP|GO"	1.88094169902228e-12	5.14174222844732e-07	2.23554009932492e-08	30	0.434782608695652	0.115203021718602	3.77405559515324	69	69	0.245901639344262	122	"RNA catabolic process"	"1994 (ELAVL1)|3921 (RPSA)|4904 (YBX1)|6050 (RNH1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)|23589 (CARHSP1)|55110 (MAGOHB)"
"23"	"black"	23	"GO:1990904"	"ribonucleoprotein complex"	"GO|GO.CC|GO"	2.41961237287301e-12	6.61425238248565e-07	2.75593849270235e-08	34	0.492753623188406	0.15014164305949	3.28192507519825	69	69	0.213836477987421	159	"ribonucleoprotein complex"	"1654 (DDX3X)|1994 (ELAVL1)|3608 (ILF2)|3921 (RPSA)|4691 (NCL)|4904 (YBX1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|6626 (SNRPA)|9045 (RPL14)|10399 (RACK1)|23521 (RPL13A)|51639 (SF3B6)|55110 (MAGOHB)"
"24"	"black"	24	"GO:0043604"	"amide biosynthetic process"	"GO|GO.BP|GO"	6.3431014503389e-12	1.73395021246464e-06	6.93580084985857e-08	31	0.449275362318841	0.128423040604344	3.49840153452685	69	69	0.227941176470588	136	"amide biosynthetic process"	"1654 (DDX3X)|1994 (ELAVL1)|3921 (RPSA)|4691 (NCL)|4904 (YBX1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|10657 (KHDRBS1)|23521 (RPL13A)"
"25"	"black"	25	"GO:0016071"	"mRNA metabolic process"	"GO|GO.BP|GO"	8.94387510657558e-12	2.4448976991335e-06	9.403452688975e-08	37	0.536231884057971	0.185080264400378	2.89729370008873	69	69	0.188775510204082	196	"mRNA metabolic process"	"1994 (ELAVL1)|3921 (RPSA)|4691 (NCL)|4904 (YBX1)|6050 (RNH1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|6294 (SAFB)|6626 (SNRPA)|8731 (RNMT)|9045 (RPL14)|10657 (KHDRBS1)|11168 (PSIP1)|23521 (RPL13A)|23589 (CARHSP1)|51639 (SF3B6)|55110 (MAGOHB)"
"26"	"black"	26	"GO:0015935"	"small ribosomal subunit"	"GO|GO.CC|GO"	1.33601778840904e-11	3.65213822639494e-06	1.29759321210369e-07	15	0.217391304347826	0.0273843248347498	7.93853073463268	69	69	0.517241379310345	29	"small ribosomal subunit"	"1654 (DDX3X)|3921 (RPSA)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|10399 (RACK1)"
"27"	"black"	27	"GO:0022627"	"cytosolic small ribosomal subunit"	"GO|GO.CC|GO"	1.33601778840904e-11	3.65213822639494e-06	1.29759321210369e-07	15	0.217391304347826	0.0273843248347498	7.93853073463268	69	69	0.517241379310345	29	"cytosolic small ribosomal subunit"	"1654 (DDX3X)|3921 (RPSA)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|10399 (RACK1)"
"28"	"black"	28	"GO:0072657"	"protein localization to membrane"	"GO|GO.BP|GO"	1.37658044889549e-11	3.7630203151007e-06	1.29759321210369e-07	29	0.420289855072464	0.115203021718602	3.64825374198147	69	69	0.237704918032787	122	"protein localization to membrane"	"2810 (SFN)|3921 (RPSA)|5864 (RAB3A)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|10890 (RAB10)|23521 (RPL13A)"
"29"	"black"	29	"GO:0006518"	"peptide metabolic process"	"GO|GO.BP|GO"	2.7569631154439e-11	7.53643437237745e-06	2.51214479079248e-07	31	0.449275362318841	0.135033050047214	3.32715110975981	69	69	0.216783216783217	143	"peptide metabolic process"	"1654 (DDX3X)|1994 (ELAVL1)|3921 (RPSA)|4691 (NCL)|4904 (YBX1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|10657 (KHDRBS1)|23521 (RPL13A)"
"30"	"black"	30	"GO:0033365"	"protein localization to organelle"	"GO|GO.BP|GO"	6.72745226974209e-11	1.8390163524567e-05	5.93231081437644e-07	32	0.463768115942029	0.148253068932956	3.12821932982553	69	69	0.203821656050955	157	"protein localization to organelle"	"1654 (DDX3X)|1994 (ELAVL1)|2810 (SFN)|3329 (HSPD1)|3921 (RPSA)|4904 (YBX1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|9555 (MACROH2A1)|10890 (RAB10)|23521 (RPL13A)"
"31"	"black"	31	"GO:0034655"	"nucleobase-containing compound catabolic process"	"GO|GO.BP|GO"	9.57989338595829e-11	2.61875965598556e-05	8.18362392495487e-07	30	0.434782608695652	0.132200188857413	3.2888198757764	69	69	0.214285714285714	140	"nucleobase-containing compound catabolic process"	"1994 (ELAVL1)|3921 (RPSA)|4904 (YBX1)|6050 (RNH1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)|23589 (CARHSP1)|55110 (MAGOHB)"
"32"	"black"	32	"GO:0046700"	"heterocycle catabolic process"	"GO|GO.BP|GO"	1.72367534093043e-10	4.71183891196742e-05	1.38583497410806e-06	30	0.434782608695652	0.135033050047214	3.21982365460626	69	69	0.20979020979021	143	"heterocycle catabolic process"	"1994 (ELAVL1)|3921 (RPSA)|4904 (YBX1)|6050 (RNH1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)|23589 (CARHSP1)|55110 (MAGOHB)"
