"protein_name"	"gene"
"Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D3"	"UBE2D2"
"PDZ and LIM domain protein 3"	"PDLIM3"
"Selenoprotein H"	"SELH"
"Tumor protein D54"	"TPD52L2"
"UTP--glucose-1-phosphate uridylyltransferase"	"UGP2"
"Prostaglandin E synthase 3"	"PTGES3"
"Ribonucleoprotein PTB-binding 1"	"RAVER1"
"Lys-63-specific deubiquitinase BRCC36"	"BRCC3"
"Hypoxia up-regulated protein 1"	"HYOU1"
"RNA-binding protein 26"	"RBM26"
"Tight junction protein ZO-1"	"TJP1"
"Sorting nexin-12"	"SNX12"
"Collagen alpha-1(VI) chain"	"COL6A1"
"Double-stranded RNA-binding protein Staufen homolog 1"	"STAU1"
"15 kDa selenoprotein"	"X15.Sep"
"Nebulin"	"NEB"
"Proteasome activator complex subunit 2"	"PSME2"
"Calponin;Calponin-2"	"CNN2"
"RNA binding protein fox-1 homolog 1;RNA binding protein fox-1 homolog;RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 3"	"RBFOX1"
"Serine/arginine-rich splicing factor 3"	"SRSF3"
"ATP-dependent RNA helicase DDX1"	"DDX1"
"26S protease regulatory subunit 10B"	"PSMC6"
"COP9 signalosome complex subunit 1"	"GPS1"
"WD repeat-containing protein 18"	"WDR18"
"Heterogeneous nuclear ribonucleoprotein U-like protein 1"	"HNRNPUL1"
"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed"	"EPB41L3"
"Sorting nexin-6;Sorting nexin-6, N-terminally processed"	"SNX6"
"Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase"	"PCMT1"
"Nucleolar and coiled-body phosphoprotein 1"	"NOLC1"
"U1 small nuclear ribonucleoprotein C"	"SNRPC"
"Nuclear factor 1 B-type;Nuclear factor 1"	"NFIB"
"Methyl-CpG-binding domain protein 1"	"MBD1"
"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"	"HADH"
"Torsin-1A-interacting protein 1"	"TOR1AIP1"
"Phosphatidylinositol transfer protein beta isoform"	"PITPNB"
"NADPH:adrenodoxin oxidoreductase, mitochondrial"	"FDXR"
"Sodium/potassium-transporting ATPase subunit alpha-3"	"ATP1A3"
"Protein SCAF8"	"SCAF8"
"Transcription activator BRG1"	"SMARCA4"
"Isovaleryl-CoA dehydrogenase, mitochondrial"	"IVD"
"Cytoplasmic dynein 1 intermediate chain 1"	"DYNC1I1"
"Delta(24)-sterol reductase"	"DHCR24"
"Titin"	"TTN"
"Adenylosuccinate lyase"	"ADSL"
"Transmembrane emp24 domain-containing protein 7"	"TMED7"
"Putative RNA-binding protein Luc7-like 2"	"LUC7L2"
"N-alpha-acetyltransferase 15, NatA auxiliary subunit"	"NAA15"
"Serine/arginine-rich splicing factor 7"	"SRSF7"
"Pre-mRNA 3-end-processing factor FIP1"	"FIP1L1"
"La-related protein 1"	"LARP1"
"Sedoheptulokinase"	"TRPV1"
"3-ketoacyl-CoA thiolase, mitochondrial"	"ACAA2"
"40S ribosomal protein S15"	"RPS15"
"Disks large-associated protein 4"	"DLGAP4"
"Translationally-controlled tumor protein;TPT1-like protein"	"TPT1"
"Transmembrane 9 superfamily member 4"	"TM9SF4"
"Protein SET;Protein SETSIP"	"SET"
"DNA (cytosine-5)-methyltransferase 3A"	"DNMT3A"
"40S ribosomal protein SA"	"RPSA"
"Nesprin-1"	"SYNE1"
"Probable ATP-dependent RNA helicase DDX46"	"DDX46"
"Enoyl-CoA delta isomerase 2, mitochondrial"	"ECI2"
"Short coiled-coil protein"	"SCOC"
"Chromodomain-helicase-DNA-binding protein 4"	"CHD4"
"Poly(A) polymerase alpha;Poly(A) polymerase beta"	"PAPOLA"
"Calpain small subunit 1"	"CAPNS1"
"Regulation of nuclear pre-mRNA domain-containing protein 1A"	"RPRD1A"
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6"	"NDUFA6"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit"	"DDOST"
"Ragulator complex protein LAMTOR5"	"LAMTOR5"
"Enolase-phosphatase E1"	"ENOPH1"
"Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;TRAF2 and NCK-interacting protein kinase"	"MAP4K4"
"ATP-dependent RNA helicase DDX3X"	"DDX3X"
"Syntaxin-binding protein 1"	"STXBP1"
"PHD finger protein 6"	"PHF6"
"Spectrin alpha chain, non-erythrocytic 1"	"SPTAN1"
"Histone-lysine N-methyltransferase EHMT2"	"EHMT2"
"Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A"	"HSPA1B"
"Casein kinase II subunit beta"	"CSNK2B.LY6G5B.1181"
"Poly(U)-binding-splicing factor PUF60"	"PUF60"
"Tripartite motif-containing protein 2"	"TRIM2"
"Serum paraoxonase/arylesterase 2"	"PON2"
"Protein canopy homolog 4"	"CNPY4"
"ELAV-like protein;ELAV-like protein 4"	"ELAVL4"
"Matrin-3"	"MATR3"
"Tropomyosin alpha-1 chain"	"TPM1"
"Protein kinase C and casein kinase substrate in neurons protein 2"	"PACSIN2"
"Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A type 1-D;Histone H2A type 1;Histone H2A.J;Histone H2A"	"HIST1H2AJ"
"Serine/threonine-protein kinase DCLK2"	"DCLK2"
"Polypyrimidine tract-binding protein 1"	"PTBP1"
"Protein enabled homolog"	"ENAH"
"Fermitin family homolog 2"	"FERMT2"
"Putative HLA class I histocompatibility antigen, alpha chain H;HLA class I histocompatibility antigen, Cw-18 alpha chain;HLA class I histocompatibility antigen, Cw-6 alpha chain;HLA class I histocompatibility antigen, Cw-7 alpha chain;HLA class I histocompatibility antigen, Cw-1 alpha chain;HLA class I histocompatibility antigen, B-8 alpha chain;HLA class I histocompatibility antigen, alpha chain E;HLA class I histocompatibility antigen, B-7 alpha chain;HLA class I histocompatibility antigen, B-39 alpha chain;HLA class I histocompatibility antigen, B-42 alpha chain;HLA class I histocompatibility antigen, B-37 alpha chain;HLA class I histocompatibility antigen, B-82 alpha chain;HLA class I histocompatibility antigen, B-67 alpha chain;HLA class I histocompatibility antigen, B-81 alpha chain;HLA class I histocompatibility antigen, B-38 alpha chain;HLA class I histocompatibility antigen, B-48 alpha chain;HLA class I histocompatibility antigen, B-14 alpha chain"	"HLA.C"
"Alpha-ketoglutarate-dependent dioxygenase FTO"	"FTO"
"Alpha-aminoadipic semialdehyde dehydrogenase"	"ALDH7A1"
"Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta"	"ASAH1"
"AT-rich interactive domain-containing protein 1A"	"ARID1A"
"Aminoacylase-1"	"ACY1"
"Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain"	"CTSD"
"Kinesin-like protein;Kinesin-like protein KIF21A"	"KIF21A"
"Ubiquitin-protein ligase E3A"	"UBE3A"
"Neuronal migration protein doublecortin"	"DCX"
"Dihydropyrimidinase-related protein 2"	"DPYSL2"
"NAD-dependent malic enzyme, mitochondrial"	"ME2"
"Protein DDX26B"	"DDX26B"
"DNA-directed RNA polymerase;DNA-directed RNA polymerase II subunit RPB2"	"POLR2B"
"Lysosome membrane protein 2"	"SCARB2"
"Transcription elongation factor A protein 1"	"TCEA1"
"Probable ATP-dependent RNA helicase DDX17"	"DDX17"
"Mitochondrial import inner membrane translocase subunit Tim9"	"TIMM9"
"Glial fibrillary acidic protein"	"GFAP"
"D-3-phosphoglycerate dehydrogenase"	"PHGDH"
"Palmitoyl-protein thioesterase 1"	"PPT1"
"Neuronal-specific septin-3"	"X3.Sep"
"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1"	"SMARCE1"
"Catenin beta-1"	"CTNNB1"
"Tubulin-specific chaperone E"	"TBCE"
"Radixin"	"RDX"
"60S ribosomal protein L5"	"RPL5"
"D-tyrosyl-tRNA(Tyr) deacylase 1;D-tyrosyl-tRNA(Tyr) deacylase"	"DTD1"
"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial"	"SUCLA2"
"Protein 4.1"	"EPB41"
"40S ribosomal protein S14"	"RPS14"
"40S ribosomal protein S29"	"RPS29"
"ATP-dependent 6-phosphofructokinase, muscle type"	"PFKM"
"Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2"	"HSD17B4"
"Casein kinase II subunit alpha;Casein kinase II subunit alpha 3"	"CSNK2A1"
"Glutamine synthetase"	"GLUL"
"Ribosomal protein L15;60S ribosomal protein L15"	"RPL15"
"Tripeptidyl-peptidase 1"	"TPP1"
"Parafibromin"	"CDC73"
"Elongation factor 1-alpha 2"	"EEF1A2"
"CD59 glycoprotein"	"CD59"
"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed"	"MTHFD1"
"CTP synthase 1;CTP synthase"	"CTPS1"
"Mannosyl-oligosaccharide glucosidase"	"MOGS"
"Translocon-associated protein subunit alpha"	"SSR1"
"Treacle protein"	"TCOF1"
"m7GpppX diphosphatase"	"DCPS"
"Phosphoglucomutase-1"	"PGM1"
"60S ribosomal protein L29"	"RPL29"
"ATP synthase subunit g, mitochondrial"	"ATP5L"
"Thyroid hormone receptor-associated protein 3"	"THRAP3"
"DNA replication licensing factor MCM4"	"MCM4"
"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed"	"NHP2L1"
"Pre-mRNA-processing factor 40 homolog A"	"PRPF40A"
"Uncharacterized protein C11orf98"	"C11orf98"
"Myosin phosphatase Rho-interacting protein"	"MPRIP"
"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4"	"PIN4"
"Protein DEK"	"DEK"
"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"	"EBP"
"Nucleolar protein 56"	"NOP56"
"Xaa-Pro dipeptidase"	"PEPD"
"Lamin-B receptor"	"LBR"
"Peptidyl-prolyl cis-trans isomerase FKBP2"	"FKBP2"
"Squamous cell carcinoma antigen recognized by T-cells 3"	"SART3"
"Protein disulfide-isomerase A4"	"PDIA4"
"Cytochrome b5 type B"	"CYB5B"
"Ubiquitin-like modifier-activating enzyme 6"	"UBA6"
"Acetolactate synthase-like protein"	"ILVBL"
"SH3 and PX domain-containing protein 2B"	"SH3PXD2B"
"Aconitate hydratase, mitochondrial"	"ACO2"
"Stathmin"	"STMN1"
"Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2"	"MAP1LC3B"
"Cullin-4B;Cullin-4A"	"CUL4B"
"Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6"	"HCFC1"
"GPI-anchor transamidase"	"PIGK"
"3(2),5-bisphosphate nucleotidase 1"	"BPNT1"
"ADP-sugar pyrophosphatase"	"NUDT5"
"Hematological and neurological expressed 1-like protein"	"HN1L"
"Structural maintenance of chromosomes flexible hinge domain-containing protein 1"	"SMCHD1"
"Protein unc-119 homolog B"	"UNC119B"
"Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 14"	"USP14"
"Aminopeptidase B"	"RNPEP"
"Tetraspanin;CD81 antigen"	"CD81"
"Alpha-endosulfine;cAMP-regulated phosphoprotein 19"	"ENSA"
"Tumor suppressor p53-binding protein 1"	"TP53BP1"
"Mesencephalic astrocyte-derived neurotrophic factor"	"MANF"
"Protein SFI1 homolog"	"SFI1"
"Fragile X mental retardation protein 1"	"FMR1"
"Protein S100-B"	"S100B"
"60S ribosomal protein L7"	"RPL7"
"ATP synthase-coupling factor 6, mitochondrial"	"ATP5J"
"60S ribosomal protein L23a"	"RPL23A"
"Fatty acid-binding protein, liver"	"FABP1"
"Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15"	"SNRPG"
"Protein SEC13 homolog"	"SEC13"
"Eukaryotic translation initiation factor 3 subunit L"	"EIF3L"
"RNA-binding protein EWS"	"EWSR1"
"Apolipoprotein C-III"	"APOC3"
"26S proteasome non-ATPase regulatory subunit 10"	"PSMD10"
"DnaJ homolog subfamily C member 11"	"DNAJC11"
"Ribose-phosphate pyrophosphokinase 1"	"PRPS1"
"Septin-6"	"X6.Sep"
"Guanylate kinase"	"GUK1"
"Polyadenylate-binding protein;Polyadenylate-binding protein 4"	"PABPC4"
"Heterogeneous nuclear ribonucleoproteins C1/C2"	"HNRNPC"
"Eukaryotic translation initiation factor 3 subunit H"	"EIF3H"
"Histidine--tRNA ligase, cytoplasmic"	"HARS"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"	"NDUFV1"
"Methylated-DNA--protein-cysteine methyltransferase"	"MGMT"
"RNA-binding protein Musashi homolog 2"	"MSI2"
"COP9 signalosome complex subunit 2"	"COPS2"
"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"	"NDUFS1"
"Citrate synthase, mitochondrial;Citrate synthase"	"CS"
"Aldo-keto reductase family 1 member C2"	"AKR1C2"
"Cysteine--tRNA ligase, cytoplasmic"	"CARS"
"39S ribosomal protein L12, mitochondrial"	"MRPL12"
"Protein transport protein Sec61 subunit alpha isoform 1;Protein transport protein Sec61 subunit alpha isoform 2"	"SEC61A1"
"S-methyl-5-thioadenosine phosphorylase;Purine nucleoside phosphorylase"	"MTAP"
"Brain-specific angiogenesis inhibitor 1-associated protein 2"	"BAIAP2"
"Echinoderm microtubule-associated protein-like 4"	"EML4"
"Basic leucine zipper and W2 domain-containing protein 2"	"BZW2"
"Septin-10"	"X10.Sep"
"Heterogeneous nuclear ribonucleoprotein L-like"	"HNRNPLL"
"Reticulon"	"RTN3"
"Lysosomal acid phosphatase"	"ACP2"
"Ran-binding protein 3"	"RANBP3"
"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADM"
"Endophilin-B2"	"SH3GLB2"
"Peptidyl-prolyl cis-trans isomerase-like 3;Peptidyl-prolyl cis-trans isomerase"	"PPIL3"
"Gamma-glutamylcyclotransferase"	"GGCT"
"Small ubiquitin-related modifier;Small ubiquitin-related modifier 1"	"SUMO1"
"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1"	"PTMA"
"Transcription elongation factor B polypeptide 2"	"TCEB2"
"U4/U6.U5 tri-snRNP-associated protein 2"	"USP39"
"Malate dehydrogenase, cytoplasmic"	"MDH1"
"MICOS complex subunit MIC60"	"IMMT"
"RNA-binding protein 12B"	"RBM12B"
"Translin-associated protein X"	"TSNAX"
"Basic leucine zipper and W2 domain-containing protein 1"	"BZW1"
"Choline-phosphate cytidylyltransferase A;Choline-phosphate cytidylyltransferase B"	"PCYT1A"
"Profilin"	"PFN2"
"Sorcin"	"SRI"
"Eukaryotic translation elongation factor 1 epsilon-1"	"EEF1E1"
"60S ribosomal protein L37a"	"RPL37A"
"Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase G"	"PPIG"
"MKI67 FHA domain-interacting nucleolar phosphoprotein"	"NIFK"
"Transportin-3"	"TNPO3"
"V-type proton ATPase subunit E 1"	"ATP6V1E1"
"Translocon-associated protein subunit gamma"	"SSR3"
"Phosphoserine phosphatase"	"PSPH"
"Nicotinate-nucleotide pyrophosphorylase [carboxylating]"	"QPRT"
"N-acetyl-D-glucosamine kinase"	"NAGK"
"Cytochrome c"	"CYCS"
"Proline-, glutamic acid- and leucine-rich protein 1"	"PELP1"
"Acylamino-acid-releasing enzyme"	"APEH"
"Cysteine protease ATG4B"	"ATG4B"
"ATP synthase subunit f, mitochondrial"	"ATP5J2.PTCD1"
"Protein FAM195B"	"FAM195B"
"Metaxin-2"	"MTX2"
"60S ribosomal protein L24"	"RPL24"
"Cartilage-associated protein"	"CRTAP"
"MICOS complex subunit MIC19"	"CHCHD3"
"DCN1-like protein;DCN1-like protein 1"	"DCUN1D1"
"Catenin delta-1"	"CTNND1"
"Eukaryotic translation initiation factor 4 gamma 2"	"EIF4G2"
"60S ribosomal protein L32"	"RPL32"
"Calcium/calmodulin-dependent protein kinase type II subunit delta"	"CAMK2D"
"Heterogeneous nuclear ribonucleoprotein A/B"	"HNRNPAB"
"Glucosamine-6-phosphate isomerase;Glucosamine-6-phosphate isomerase 1"	"GNPDA1"
"Transmembrane protein 33"	"TMEM33"
"COP9 signalosome complex subunit 4"	"COPS4"
"Vesicular integral-membrane protein VIP36"	"LMAN2"
"Eukaryotic translation initiation factor 4E"	"EIF4E"
"Polyadenylate-binding protein-interacting protein 1"	"PAIP1"
"Peptidyl-prolyl cis-trans isomerase CWC27 homolog"	"CWC27"
"Septin-11"	"X11.Sep"
"Protein transport protein Sec31A"	"SEC31A"
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	"SDHA"
"Cytochrome c oxidase subunit 7A2, mitochondrial"	"COX7A2"
"Exosome complex component RRP45"	"EXOSC9"
"Acyl-protein thioesterase 1"	"LYPLA1"
"Prefoldin subunit 1"	"PFDN1"
"Stathmin;Stathmin-2"	"STMN2"
"Transcription elongation factor B polypeptide 1"	"TCEB1"
"60S ribosomal protein L30"	"RPL30"
"Phospholipase A-2-activating protein"	"PLAA"
"Tubulin-specific chaperone A"	"TBCA"
"S-phase kinase-associated protein 1"	"SKP1"
"Annexin"	"ANXA6"
"COP9 signalosome complex subunit 6"	"COPS6"
"Flotillin-2"	"FLOT2"
"Epididymal secretory protein E1"	"NPC2"
"AP-1 complex subunit mu-1"	"AP1M1"
"Alpha-adducin"	"ADD1"
"60S ribosomal protein L14"	"RPL14"
"Septin-7"	"X7.Sep"
"Alpha-synuclein"	"SNCA"
"Beta-galactosidase"	"GLB1"
"N-alpha-acetyltransferase 50"	"NAA50"
"Ezrin"	"EZR"
"High mobility group protein B3"	"HMGB3"
"Focal adhesion kinase 1"	"PTK2"
"Cyclin-dependent kinase 2"	"CDK2"
"Neurofilament medium polypeptide"	"NEFM"
"Metastasis-associated protein MTA1"	"MTA1"
"U2 snRNP-associated SURP motif-containing protein"	"U2SURP"
"Glutathione peroxidase;Probable glutathione peroxidase 8"	"GPX8"
"Eukaryotic translation initiation factor 4 gamma 1"	"EIF4G1"
"Microtubule-associated protein;Microtubule-associated protein 4"	"MAP4"
"Protein polybromo-1"	"PBRM1"
"Kinesin light chain 1"	"KLC1"
"Cytoplasmic FMR1-interacting protein 2"	"CYFIP2"
"U4/U6 small nuclear ribonucleoprotein Prp31"	"PRPF31"
"Sal-like protein 2"	"SALL2"
"Cleavage stimulation factor subunit 2;Cleavage stimulation factor subunit 2 tau variant"	"CSTF2"
"Eukaryotic translation initiation factor 4B"	"EIF4B"
"Dynactin subunit 1"	"DCTN1"
"Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	"NACA"
"2-oxoglutarate dehydrogenase, mitochondrial"	"OGDH"
"Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 4"	"SMC4"
"Unconventional myosin-Ib"	"MYO1B"
"Far upstream element-binding protein 1"	"FUBP1"
"Acetyltransferase component of pyruvate dehydrogenase complex;Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	"DLAT"
"Nuclear pore complex protein Nup155"	"NUP155"
"Dynein heavy chain 12, axonemal"	"DNAH12"
"Translin"	"TSN"
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9"	"NDUFB9"
"LanC-like protein 1"	"LANCL1"
"Band 4.1-like protein 2"	"EPB41L2"
"Nuclear transcription factor Y subunit gamma"	"NFYC"
"Mitochondrial carrier homolog 2"	"MTCH2"
"Thy-1 membrane glycoprotein"	"THY1"
"Nuclear RNA export factor 1"	"NXF1"
"Methylosome subunit pICln"	"CLNS1A"
"Protein wntless homolog"	"WLS"
"Protein arginine N-methyltransferase 1"	"PRMT1"
"Nucleolar transcription factor 1"	"UBTF"
"60S ribosomal protein L8"	"RPL8"
"Puromycin-sensitive aminopeptidase"	"NPEPPS"
"60S ribosomal protein L27a"	"RPL27A"
"Vitamin K epoxide reductase complex subunit 1"	"VKORC1"
"Cleavage stimulation factor subunit 3"	"CSTF3"
"Squalene synthase"	"FDFT1"
"mRNA export factor"	"RAE1"
"Histone-lysine N-methyltransferase SETDB1"	"SETDB1"
"Prefoldin subunit 4"	"PFDN4"
"40S ribosomal protein S30"	"FAU"
"COUP transcription factor 1;COUP transcription factor 2"	"NR2F1"
"Rab-like protein 6"	"RABL6"
"Copine-1"	"CPNE1"
"Pyridoxal kinase"	"PDXK"
"Toll-interacting protein"	"TOLLIP"
"60S ribosomal protein L35"	"RPL35"
"Prostaglandin reductase 1"	"PTGR1"
"Multifunctional methyltransferase subunit TRM112-like protein"	"TRMT112"
"Protein C10"	"C12orf57"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1"	"DAD1"
"SPARC"	"SPARC"
"Ubiquitin thioesterase OTUB1"	"OTUB1"
"Homeobox protein Meis2;Homeobox protein Meis1;Putative homeobox protein Meis3-like 1;Homeobox protein Meis3"	"MEIS2"
"4F2 cell-surface antigen heavy chain"	"SLC3A2"
"High mobility group protein HMGI-C"	"HMGA2"
"Protein transport protein Sec23A"	"SEC23A"
"Nucleosome assembly protein 1-like 1"	"NAP1L1"
"Microsomal glutathione S-transferase 1"	"MGST1"
"DNA repair protein XRCC1"	"XRCC1"
"Set1/Ash2 histone methyltransferase complex subunit ASH2"	"ASH2L"
"N-acetylglucosamine-6-sulfatase"	"GNS"
"Glyoxalase domain-containing protein 4"	"GLOD4"
"Polymerase delta-interacting protein 3"	"POLDIP3"
"Serine/threonine-protein phosphatase 2A activator"	"PPP2R4"
"CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase"	"CAD"
"LIM domain and actin-binding protein 1"	"LIMA1"
"60S ribosomal protein L18"	"RPL18"
"Coatomer subunit zeta-1"	"COPZ1"
"Phosphate carrier protein, mitochondrial"	"SLC25A3"
"SWI/SNF complex subunit SMARCC2"	"SMARCC2"
"Vacuolar protein sorting-associated protein 29"	"VPS29"
"Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit"	"PPP1CC"
"ADP-ribosylation factor-like protein 1"	"ARL1"
"Aladin"	"AAAS"
"Chromatin complexes subunit BAP18"	"C17orf49"
"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed"	"AK2"
"Myosin light polypeptide 6"	"MYL6"
"Nuclear receptor-binding protein"	"NRBP1"
"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2"	"HNRNPA1"
"Ubiquitin-associated protein 2-like"	"UBAP2L"
"Double-strand break repair protein MRE11A"	"MRE11A"
"Nucleolysin TIA-1 isoform p40"	"TIA1"
"Insulin-like growth factor 2 mRNA-binding protein 2"	"IGF2BP2"
"CLIP-associating protein 1"	"CLASP1"
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5"	"NDUFA5"
"Vesicle-associated membrane protein 3;Vesicle-associated membrane protein 2"	"VAMP2"
"Actin-related protein 2/3 complex subunit 4"	"ARPC4.TTLL3"
"Clathrin light chain A"	"CLTA"
"Cleavage and polyadenylation specificity factor subunit 6"	"CPSF6"
"Caprin-1"	"CAPRIN1"
"Dipeptidyl peptidase 3"	"DPP3"
"Apoptosis inhibitor 5"	"API5"
"Paired mesoderm homeobox protein 1"	"PRRX1"
"Acylphosphatase;Acylphosphatase-1"	"ACYP1"
"Signal recognition particle 54 kDa protein"	"SRP54"
"Glia maturation factor beta"	"GMFB"
"Proteasome subunit alpha type;Proteasome subunit alpha type-6"	"PSMA6"
"Catenin alpha-1"	"CTNNA1"
"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1"	"SMARCB1"
"Syntenin-1"	"SDCBP"
"CUGBP Elav-like family member 1"	"CELF1"
"Protein transport protein Sec24C"	"SEC24C"
"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed"	"HNRNPH1"
"Dynamin-1-like protein"	"DNM1L"
"Zyxin"	"ZYX"
"Dolichol-phosphate mannosyltransferase subunit 1"	"DPM1"
"Inosine-5-monophosphate dehydrogenase 2"	"IMPDH2"
"60S ribosomal protein L36a;60S ribosomal protein L36a-like"	"RPL36A"
"Nicastrin"	"NCSTN"
"Importin-5"	"IPO5"
"2-deoxynucleoside 5-phosphate N-hydrolase 1"	"DNPH1"
"Translation machinery-associated protein 16"	"TMA16"
"Inositol monophosphatase 1"	"IMPA1"
