DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
PABPC1	2.550193	2.758853	3.176502	3.048089	3.424312	3.395414	2.696559	3.31336	3.57079	3.516685	3.845165	3.792634	3.694904
UHRF1	-4.827862	-3.202798	-2.670186	-3.171039	-4.025143	-3.926923	-4.215117	-0.784866	-1.190408	-0.1526174	0.3478	-0.3907759	-1.167486
UBXN1	-0.8288029	0.1671098	0.08184826	0.3654186	0.3398522	0.6061102	0.2940082	-0.2540442	0.2751299	0.2975806	-0.01204609	-0.5609307	-0.2219569
VPS45	-2.196437	-2.780923	-5.264225	-4.803089	-2.539237	-2.533739	-1.788132	-3.542578	-3.131754	-2.094714	-2.806928	-2.390342	-2.226051
CTNNBL1	-5.51837	-4.584678	-5.040176	-3.667826	-1.945489	-4.72558	-2.627592	-3.656211	-1.515798	-2.350878	-1.460113	-2.355843	-2.855856
SPCS2	-3.739048	-3.348716	-4.310913	-3.009731	-4.08497	-2.202667	-3.990256	-3.832799	-3.455055	-2.277558	-2.484544	-1.708905	-1.679872
HEXA	-3.758736	-3.484545	-3.372258	-2.76341	-3.051045	-5.266459	-3.142679	-2.649457	-2.540279	-2.555427	-2.941163	-2.933172	-2.697076
HNRNPDL	1.949439	2.217094	2.823695	1.952909	3.052074	2.604532	2.985178	2.095213	2.705458	2.636225	2.766151	2.879095	2.529353
PSMB3	0.6919746	0.5934699	1.407737	0.1281045	1.379719	0.6952497	0.4847857	1.178578	1.017242	0.8441784	0.672092	1.192828	0.9404981
SLIRP	-2.32984	-3.59475	-1.56341	-1.505606	-1.632773	-1.394235	-3.401222	-2.221182	-1.199037	-1.017916	-1.681103	-1.128996	-0.642492
GPX1	-1.995248	-1.7447	-0.8506949	-2.001498	-1.051521	-0.7497655	-1.839465	-1.568938	-0.8335907	-0.297576	-0.07369856	0.4918367	0.09862475
RPS24	1.814965	1.771557	2.118657	2.40049	2.058074	1.748048	2.675203	1.99237	1.788991	1.398413	1.029815	1.798281	1.959333
MYEF2	0.7429042	0.1979237	1.259013	0.4651974	1.453659	1.540414	1.088993	0.8354105	1.125914	1.101084	1.149879	1.166769	1.140913
EIF5B	-3.95907	-2.850185	-1.470289	-3.216247	-1.209066	-3.239095	-2.909418	-2.701202	-3.063325	-1.132633	-1.563857	-0.2330903	-1.787785
SPTBN1	3.556438	3.490158	3.034174	2.906644	2.067627	2.451806	1.94827	1.988962	2.568946	2.239179	2.23653	2.561045	2.729684
MYCBP	-4.100447	-3.800652	-3.647939	-1.898003	-4.475185	-4.058967	-4.067276	-1.24813	-1.582493	-1.020064	-2.550534	-2.179008	-1.987811
ZMYND8	-5.15271	-5.198446	-2.583763	-2.137154	-1.883333	-1.212291	-1.670597	-1.463835	-1.449869	-1.094633	-0.9008244	-2.135521	-1.709504
CLTC	5.213373	5.129162	5.140331	4.78929	4.877105	4.747742	4.687878	4.728357	4.646457	4.583663	4.589833	4.816899	4.815734
SSBP3	-1.750912	-1.450532	-0.3313138	-0.3924355	0.2238419	-1.289645	-0.9539578	-3.053765	-1.804897	-2.239061	-2.143329	-1.975741	-2.549578
MECP2	-2.060483	-0.8537712	-2.36733	-2.153406	-1.2659	-0.5805504	-2.202592	-1.45658	-4.561039	-2.301734	-1.357342	-2.645397	-2.243349
SH3GLB1	-0.1923519	-0.4698191	-0.6409098	-1.6441	-0.7844168	-0.5134348	-2.121386	-0.9234574	-2.103109	-0.9857292	-0.6946353	-1.272065	-0.843215
NOMO1	1.565411	0.7581923	1.178487	2.650217	0.4222972	0.5385209	1.779424	2.123838	1.11265	0.2254016	0.9176501	0.1891236	0.6253345
PSMD1	1.377086	0.5305097	1.480811	0.8830994	1.59712	2.102893	0.7670673	0.6275424	1.564099	1.55103	1.9038	1.765752	1.863148
LLGL1	0.2579647	0.2641428	-3.193937	-0.0791151	-1.302853	-3.013842	-1.683232	-0.5972434	-0.393657	-1.279147	-0.4360556	-0.4514438	-0.4604787
POLD2	-2.05408	-1.849111	-2.331093	-2.234022	-2.115867	-1.250184	-2.366224	-1.888311	-1.029226	-0.8744743	-0.5313565	-0.02596338	-0.2762771
RPL17	1.208187	1.033828	1.609304	1.906471	1.383929	1.202814	1.739056	1.161535	1.033338	1.447572	1.016533	1.393506	1.378801
NDUFA10	-0.7625386	-1.057809	-0.5205167	-2.024792	-4.101556	-2.07546	-0.06642425	-0.7997917	-1.28262	-3.416631	-2.570993	-1.732889	-1.39169
ASNA1	-0.7333339	-1.295964	0.45077	-0.3975035	-1.382777	-0.05186644	-1.16971	-0.822631	-0.3209489	-0.4464387	0.6378818	0.6428038	-0.5329177
SREK1	-3.912037	-2.071857	-0.9345312	-2.713995	-0.9973174	-1.257328	-1.923026	-4.049714	-2.284074	-2.50373	-1.324249	-1.898538	-1.021718
VTA1	-1.178556	-1.204638	-0.9398782	-3.796126	-1.313761	0.004307635	-3.594163	-4.399615	-0.5873537	-0.7121361	0.1325538	0.1475564	-1.058354
NUMA1	2.631132	2.744488	3.284531	2.94298	3.337323	3.658485	2.764797	2.855461	2.771008	3.603348	3.676775	3.81119	3.700041
DACH1	-3.40471	-3.226423	-2.071002	-2.320678	-3.294334	-2.425515	-3.03545	-1.992833	-1.435752	-1.157776	-0.8150611	-0.313867	-1.688767
AP2M1	-1.652626	-0.9065917	-2.177079	-3.52958	-2.361093	-2.491849	-1.389215	-5.502446	-3.703754	-3.392581	-3.235338	-4.720617	-3.468336
UBE2D2	-1.488292	-0.956436	-0.1557337	-0.6971076	0.4502907	-0.06466202	-0.4034322	-1.226248	0.7878029	-0.4239011	-0.6135038	0.333487	-0.3226917
PDLIM3	-3.324097	-3.58902	-0.3829427	-5.687695	-3.486426	-3.533052	-3.651876	-3.399425	-2.509144	-3.492052	-0.3520715	-0.8372746	-1.322596
SELH	0.5314411	-2.260847	-4.983264	-1.66176	-0.02421302	-0.7125703	-0.3103365	-1.261459	0.3247638	-0.08771595	-0.2253422	-0.1086645	-0.6599293
TPD52L2	0.09222099	0.1586474	0.02978569	0.4157688	-0.9072391	0.6055688	0.1379678	0.6151139	0.4772451	0.4003374	0.4271532	0.5145106	0.5767762
UGP2	-0.3436605	-1.183605	-0.6218787	-0.2887723	-0.6574299	-0.9629681	-1.36555	0.6750111	0.9967291	0.07323433	-0.147462	-0.1871703	0.3827056
PTGES3	1.33705	2.057989	1.781312	1.916352	2.489079	2.608529	1.224864	2.312149	2.796964	2.720026	3.401315	3.104028	2.923728
RAVER1	-3.955855	-4.203928	-3.296633	-4.00352	-4.257938	-4.944364	-3.753788	-2.683877	-2.261922	-1.67259	-1.275303	-0.7598553	-0.41102
BRCC3	-3.784051	-3.904658	-3.106327	-3.448915	-3.822271	-3.852432	-3.004499	-3.365718	-3.743835	-3.953232	-4.239298	-4.146114	-3.738692
HYOU1	1.573369	1.14103	2.132511	1.134016	1.848114	1.922982	0.9301006	2.639824	2.980682	2.784292	2.078059	2.322683	2.816924
RBM26	-4.562716	-3.353917	-4.296243	-1.440776	-2.68976	-1.271461	-4.40916	-4.177381	-4.07871	-2.01685	-1.781144	-1.38137	-0.8412697
TJP1	-4.642435	-3.996841	-1.835879	-1.555544	-4.030958	-6.655215	-4.354241	-1.376219	-4.592187	-1.549328	-0.885742	-3.636988	-1.688239
SNX12	-1.153433	-1.262173	-0.6447364	-0.9390645	-0.2914886	-0.6897699	-0.9569136	-0.5548916	-1.510945	-0.8990765	-1.556145	-0.6739606	-0.6195898
COL6A1	-2.314656	-2.083758	-2.797343	-2.60072	-4.181707	-2.479837	-3.266204	-3.701564	-2.40181	-2.849953	-3.545231	-2.90893	-1.83992
STAU1	-2.552698	-3.048779	-4.203527	-2.783752	-3.041578	-2.306025	-3.302761	-3.201514	-3.865973	-2.229322	-2.154115	-2.24971	-2.336155
X15.Sep	-1.014661	-1.687331	-1.594253	-1.56922	-1.497807	-0.8830048	-0.874958	-0.5985708	0.01270825	-0.8266475	-1.539361	-0.8275546	-0.4097914
NEB	-0.6644193	-0.710498	0.2946506	-0.608018	-3.604885	-1.046493	-1.160129	-1.743932	-0.8010179	-1.274262	-1.875099	-0.4211529	-0.79395
PSME2	0.3893579	0.9590253	0.0149796	0.222899	1.460669	-0.2884639	1.465533	-0.7105464	1.080805	-0.2020448	-0.2159712	0.4113443	0.3926648
CNN2	-0.6698428	-0.7200725	-0.4496081	-0.362353	-0.1156669	0.07873676	-1.206416	0.01066971	0.7173384	0.540707	-0.04786993	0.7289491	0.5600473
RBFOX1	-0.8478994	-0.8663017	-0.4965561	-0.7418478	0.8485509	-0.1265185	0.4193551	-0.9978269	-1.272935	-1.446663	-2.247408	-2.298355	-2.190538
SRSF3	4.258533	4.023439	4.586564	4.146923	4.818534	4.369713	4.850555	4.488722	4.54512	4.251289	4.150084	4.742011	4.637767
DDX1	0.7212943	-1.792792	0.9244339	-2.380955	2.829997	2.135591	1.41028	1.673457	1.865108	2.052754	2.454985	2.254218	2.322921
PSMC6	0.4435003	1.250626	1.210292	1.263635	1.315718	1.803543	0.5114185	1.521457	1.200987	1.620774	1.946177	1.966672	1.635831
C21orf33	-0.1143632	-2.724321	-0.1122894	-2.372102	-0.3335751	-0.1606318	-2.915948	-1.486984	0.08371649	0.1431504	-1.823791	-0.1344062	-0.3760855
GPS1	-1.934959	-5.472546	-1.535612	-1.515073	-1.425989	-1.728573	-1.776058	-2.140826	-1.147293	-1.929041	-1.307224	-0.866002	-0.9078168
WDR18	-2.185189	-2.299319	-1.195557	-1.472337	-0.6713039	-2.236417	-0.7138065	-0.8919019	-0.5556835	-1.853333	-1.386765	-1.258759	-1.545345
HNRNPUL1	-1.179682	-0.6617787	0.108672	0.428889	0.3889549	1.239636	-0.02291023	0.7048969	1.037889	1.150562	1.036012	1.311091	1.305069
EPB41L3	-1.527183	-1.877813	-2.896849	-3.498101	-1.78595	-1.65435	-4.010566	-3.110766	-2.627142	-2.317956	-2.612402	-3.882308	-3.055702
SNX6	-0.5605001	0.8802949	-0.5227607	-4.385901	-0.507671	-1.812112	-0.6782801	-0.6156672	0.3978833	-0.3327693	-1.606977	0.3595344	-1.321786
PCMT1	1.080482	0.972233	0.8942859	0.1849852	1.032176	1.054348	0.837618	0.4029837	0.4983504	0.3187072	0.7210349	0.4373735	0.4074231
NOLC1	-2.948841	-3.546232	-2.943983	-3.213507	-3.435504	-1.357465	-3.92337	-1.161029	-1.194604	-0.6926102	-0.9378579	-1.411236	-1.054304
SNRPC	-0.004664585	0.1067175	0.9556792	0.6228951	1.063085	1.492857	0.8515101	0.9268808	1.328266	1.10304	1.820577	1.45847	1.522319
NFIB	-2.32924	-2.717011	-0.354664	-1.56997	-3.094044	-4.41444	-4.913056	-4.032935	-5.107083	-4.422388	-3.728435	-4.294197	-3.677394
MBD1	-5.041107	-4.020056	-1.173367	-1.578401	-0.583674	-3.248734	-0.3401138	-4.339634	-1.549624	-3.599468	-3.803353	-2.953933	-2.687175
HADH	1.458864	0.9838704	1.804124	1.677325	0.8071328	0.9322612	1.078007	1.871327	1.931176	1.413127	0.9531205	1.473332	1.927313
TOR1AIP1	-3.53971	-3.735034	-2.188327	-5.269823	-2.715402	-2.595932	-3.272229	-2.250115	-4.415143	-1.690297	-1.808036	-1.922722	-1.24545
PITPNB	-2.334937	-2.584569	-2.095085	-2.298576	-1.735474	-1.204891	-3.630457	-2.850408	-2.782871	-1.451475	-0.7506831	-0.9511145	-0.9997722
FDXR	-2.837077	-3.926115	-3.940175	-3.199367	-3.599423	-2.254514	-2.347925	-3.510391	-3.283912	-3.484696	-2.139758	-1.654871	-1.57637
ATP1A3	1.971947	2.175019	0.548413	-0.2590909	0.5926473	0.4676643	-0.7880704	-1.296069	-0.9856937	-0.04006168	0.1678813	0.2107662	-0.1974957
SCAF8	-4.516908	-3.324029	-2.482883	-2.32274	-1.740205	-2.084991	-5.181163	-1.88912	-1.584602	-2.056819	-1.245635	-2.651022	-1.567334
SMARCA4	-0.4655959	-0.84549	0.05728152	-0.3839006	1.11458	1.615174	0.0839626	-0.8239323	-0.1563916	1.409214	1.049392	1.011538	1.088528
IVD	-3.093057	-2.155979	-3.197215	-2.975027	-2.997635	-4.020473	-3.269268	-2.861707	-1.310939	-2.886477	-3.96315	-2.919461	-2.893651
DYNC1I1	-0.03778383	-0.06092167	-0.516697	-2.928502	-0.5499848	-3.083334	-0.5309603	-4.581573	-3.88808	-1.086755	-1.389986	-4.544027	-3.32482
DHCR24	-1.32169	-2.625218	-3.340225	-1.849669	-1.713888	-1.587231	-3.640601	-2.017195	-2.673995	-2.020815	-0.854426	-0.5138374	-1.25719
TTN	1.232255	2.182648	1.25695	1.632556	0.9181343	0.8242503	2.094512	1.594388	1.906571	0.7125031	0.2705277	1.170037	0.7327845
ADSL	-3.474105	-2.816685	-3.52987	-2.521411	-2.920015	-2.772831	-0.9271827	-3.50585	-2.31322	-3.034877	-3.013967	-2.795353	-3.066493
TMED7	-0.5966331	-0.9995437	0.3169637	-0.2690303	-0.08343657	0.1237971	-0.9456072	-0.01515286	-0.09548188	0.5301785	0.5038292	0.4690397	0.5589734
LUC7L2	-0.2516834	-0.03355385	0.7931238	0.1265823	0.7025272	0.8965	0.7009842	0.6770843	0.8843341	1.276819	1.428587	1.159346	1.451943
NAA15	-2.463317	-2.447488	-1.504368	-3.229342	-3.863398	-0.6195517	-2.393008	-6.21497	-3.061623	-1.681687	-1.29631	-1.358873	-1.06255
SRSF7	2.981872	3.013479	3.328402	3.141962	3.541629	3.770404	3.350326	3.728344	3.499074	3.609931	3.732313	3.645749	3.734781
FIP1L1	-5.721575	-5.343379	-5.870409	-4.176335	-2.657989	-2.737108	-4.701861	-2.630994	-2.11977	-2.430763	-2.390277	-2.306653	-2.775786
LARP1	-0.162363	-0.1068069	-0.6734808	-1.702136	-0.7610853	-1.042521	-1.284555	-3.182399	-1.860817	-5.215745	-2.766453	-1.665567	-2.241658
TRPV1	-4.314324	-1.904383	-5.32119	-2.417914	-3.245836	-5.327988	-5.989915	-4.751786	-3.033236	-2.659384	-3.725748	-3.199418	-3.790107
ACAA2	0.2885506	-0.5828516	1.154633	0.9323043	0.3095677	0.6352878	-0.4628676	1.010714	0.8810281	0.8126096	0.3260414	0.608441	0.5691336
RPS15	0.06583036	-0.1267654	0.1214069	-0.7775542	-0.4314257	-2.846419	-2.014772	-1.77345	-0.06395568	-0.3431666	-0.7290358	-0.5163916	0.2306721
DLGAP4	-1.93353	-2.029113	-2.297983	-2.053034	-1.82075	-1.833267	-1.917347	-2.574018	-2.967937	-2.325418	-1.988958	-2.265371	-2.610228
TPT1	1.343499	0.8263527	1.595087	1.637198	1.322623	1.813458	1.130558	1.757653	1.695273	1.882626	2.374535	2.308308	2.318841
TM9SF4	-3.011674	-3.40036	-3.058546	-2.496213	-4.149137	-0.2254637	-3.763416	-0.8553051	-3.137135	-2.567624	-2.185832	-1.911226	-1.371132
SET	2.274416	2.288458	2.507813	2.879095	3.679058	3.515264	3.901175	3.523144	3.621043	3.40008	3.978474	3.628803	3.6533
DNMT3A	-4.314919	-4.693529	-3.224706	-3.294304	-2.02894	-2.237932	-2.800347	-3.581851	-3.567625	-1.95354	-3.397841	-2.016465	-2.569104
RPSA	3.442729	3.45633	3.929708	3.385898	4.058343	3.841264	3.951302	3.947083	3.77732	3.630981	3.928181	4.087617	3.901564
SYNE1	-0.8356917	-5.372796	-0.4142066	0.08245178	0.6651591	0.7226094	-0.9923351	0.3011466	0.5069543	0.2447896	0.6105406	0.1915961	0.4155717
DDX46	-4.491798	-3.994014	-1.097904	-0.7660592	-0.6189669	-0.3103561	-1.771871	-1.862257	-0.2233666	-1.741716	1.10508	0.3774052	0.03252601
ECI2	-2.522663	-2.697582	-3.403232	-3.541051	-3.049463	-2.736238	-4.156199	-1.96196	-0.7129903	-1.357513	-2.300003	-0.2254637	-0.7987409
SCOC	-2.032107	-2.641194	-1.902079	-3.221612	-2.789978	-3.574169	-3.124173	-1.124792	-1.663922	-1.401082	-2.287751	-2.162143	-1.034671
CHD4	1.498006	0.9341736	1.665682	1.306524	2.388864	2.426073	1.813179	1.714726	1.525266	2.591481	2.293217	2.224698	2.357356
PAPOLA	-4.691256	-4.903215	-2.48123	-2.125921	-2.209854	-1.311786	-2.720063	-1.718942	-2.29082	-1.50081	-1.633323	-1.337729	-1.073258
CAPNS1	-1.132495	-1.724879	-1.093883	-1.262057	-1.446547	-2.686527	-1.569294	-1.719558	-0.8093594	-1.21721	-1.5942	0.03179014	-2.331795
RPRD1A	-1.363381	-4.950156	-2.704983	-3.132015	-1.75661	-1.006596	-4.282403	-2.150069	-1.565474	-0.9370673	-0.7243338	-0.4421231	-0.5921544
NDUFA6	-3.412758	-0.5330504	-1.027232	-2.226632	-2.909011	-1.565235	-2.724579	-0.373677	-2.231631	-1.350555	-2.85819	-1.361555	-1.283619
DDOST	1.015592	1.068853	1.752944	1.716628	1.200892	1.845793	1.110356	1.838448	1.567929	2.72517	1.63378	1.944383	2.231947
LAMTOR5	-3.774018	-4.17811	-2.053591	-1.57136	-4.569562	-2.047068	-3.941434	-1.444414	-2.145581	-1.683358	-1.571916	-2.159019	-2.052752
ENOPH1	-0.06333296	-0.140764	0.4727213	0.1993077	-0.3391983	-2.961768	-0.2072059	0.2276642	0.309671	-1.379977	-1.659416	-0.09255473	0.4681329
MAP4K4	-1.195867	-4.720204	-2.10343	-2.219636	-1.013491	-2.304571	-1.916017	-4.082397	-3.497567	-2.567041	-4.284591	-2.998284	-3.445615
DDX3X	0.9918773	0.6785002	2.00068	1.658914	2.121731	2.231197	1.809732	1.881566	1.940541	2.341728	2.362231	2.545671	2.43514
STXBP1	1.605358	1.388791	-0.6147898	-2.061609	-0.2641703	-0.8328998	-1.438394	-5.759929	-3.497492	-2.302739	-4.840092	-4.293231	-4.778981
PHF6	-3.987066	-3.051932	-5.132241	-3.203479	-1.038801	-0.382325	-3.714702	-5.710267	-1.051832	-0.1808352	-0.6641175	-0.9015344	-1.033216
SPTAN1	4.451184	4.046729	3.862382	3.671877	3.930051	4.315248	3.593998	2.976024	3.280151	3.398128	3.50552	3.369803	3.463741
EHMT2	-5.179929	-4.164395	-3.821577	-6.11667	-2.824008	-2.952221	-3.780806	-1.77625	-1.286	-2.103807	-2.315331	-1.780702	-2.705075
HSPA1B	3.920731	4.050875	4.114873	3.745521	4.103721	3.973755	3.85889	3.669049	3.81357	3.716242	3.596581	3.748715	3.869481
CSNK2B.LY6G5B.1181	-2.033257	-3.635669	-3.38391	-3.135044	-1.701939	-2.498579	-3.559115	-2.130333	-0.3031421	-2.497707	-2.275417	-2.48864	-2.021102
PUF60	1.69175	1.972445	2.312303	1.499588	2.593333	2.074858	1.879423	2.205735	2.553694	2.699212	2.372335	2.675579	2.453555
TRIM2	-1.161951	-1.033386	-0.799155	-1.717911	0.06721402	-0.01526512	-2.006945	-2.55448	-2.447488	-1.495338	-0.4177293	-0.06025532	-0.8419818
PON2	-5.857095	-1.603179	0.0003983937	-0.9920468	-4.474081	-2.21314	0.2338843	-1.688655	-1.097931	-0.9073449	-0.9347172	-0.3520599	0.4553025
CNPY4	-0.4668215	-1.523576	-0.9263949	-0.09516968	-2.216174	-3.663266	-2.318824	0.4618288	0.007053446	-0.922315	-1.490858	-1.699329	-0.3516494
NA.	-1.49009	-1.709944	-2.137799	-3.010497	-1.439485	-0.6923991	-1.234406	-5.237617	-3.30147	-4.198695	-2.307315	-3.600535	-1.209953
ELAVL4	0.855813	1.201551	1.245915	0.3524048	2.97282	2.462577	1.959081	-5.042894	-3.495951	-3.842098	-1.01026	-0.5392251	-1.403495
MATR3	4.719346	4.416409	4.706135	4.221215	5.720735	5.096741	4.885778	4.338879	5.253434	5.082587	4.81658	5.063182	5.253797
TPM1	-0.2137134	0.3106228	0.144486	1.160305	-1.455613	0.629829	-0.2170814	0.7124863	0.5162311	0.7578873	-0.2953773	-0.8355345	0.2506706
PACSIN2	-1.02273	-3.877206	-2.277591	-3.911955	-2.627803	-2.848948	-2.219183	-2.707754	-2.155518	-4.509322	-2.813557	-2.316228	-3.330458
HIST1H2AJ	1.362083	1.042692	0.6076735	-5.163805	2.268393	0.06941288	2.285366	0.6946395	-0.3773856	1.982656	-2.677227	-0.6972312	-1.343965
DCLK2	-2.087586	-1.504967	-1.331851	-2.748151	-2.91719	-3.363767	-4.139215	-3.820549	-3.270647	-3.596141	-3.322787	-3.213412	-3.347352
PTBP1	3.026167	3.676948	3.753097	3.505279	3.918674	3.41545	3.888957	4.333558	4.525717	4.042795	3.680834	4.176154	4.280221
ENAH	0.6460565	-0.0472023	0.7777774	0.3822574	-0.2587796	-0.5849977	-0.4284547	0.09352157	-0.3851042	-0.125472	0.05978212	0.5189013	-0.06877784
FERMT2	-1.093754	-1.457811	-0.6353079	-0.5762858	-3.589589	-3.116783	-4.087008	-3.090996	-2.585774	-2.647756	-3.266852	-0.3026073	-1.458356
HLA.C	5.605628	5.910297	5.304788	4.50442	-1.40473	5.577202	-5.119813	4.166348	4.929325	-3.842138	5.48702	4.884999	4.949205
FTO	-2.217223	-2.093801	-0.8413731	-2.210208	0.03547057	-1.061221	-1.431921	-2.073622	-0.8414928	-0.966768	-1.704107	-0.5947039	-1.156353
ALDH7A1	1.197163	1.516194	1.785665	1.155451	1.794743	1.584923	0.8959417	1.941435	2.50554	2.261397	2.448724	2.304742	2.304098
ASAH1	-1.510267	-1.907762	-0.1759409	-0.5457711	-1.884144	-1.226905	-2.005116	-0.524452	-0.8097025	-0.9730636	-1.814139	-1.861114	-1.397048
ARID1A	-2.595718	-2.632459	-2.914647	-3.663409	-1.653666	-0.9639442	-2.655627	-4.188581	-2.051019	-1.593686	-1.797971	-1.429405	-2.220625
ACY1	-3.880922	-2.888047	-2.480178	-1.624546	-2.281017	-0.8554097	-2.863384	-2.041278	-4.362318	-2.846068	-1.139083	-1.280471	-1.817409
CTSD	1.706054	1.359535	2.477708	1.984395	1.939503	1.77927	1.721397	1.93884	2.001178	2.212619	1.764585	1.77778	2.106965
KIF21A	-2.489077	-2.819079	-2.968303	-3.316341	-3.009366	-2.712754	-2.586658	-5.714395	-4.579773	-3.566904	-2.933092	-3.325066	-3.523388
UBE3A	-3.935663	-5.268743	-2.601792	-1.828913	-1.348729	-1.869858	-2.187181	-3.456764	-2.562972	-3.123373	-3.425793	-1.680912	-2.663068
DCX	0.9231026	0.4477729	0.2345466	-0.1558898	1.196876	0.3050779	-0.6180327	-2.23564	-1.937287	-1.072374	-0.5657438	-0.462275	-0.5963038
DPYSL2	7.02694	6.813425	6.077777	5.080452	6.273862	5.949656	5.760286	4.566013	4.902279	4.964986	5.742856	5.722272	5.528366
ME2	-0.9837726	-0.8089029	0.05010312	-0.9380658	0.237396	-0.2443429	0.09783805	0.4066265	0.4546019	0.2595465	0.3769053	0.3898588	0.5623548
DDX26B	1.858389	1.008379	2.730604	1.102252	1.563026	2.485178	2.555817	1.058308	0.2252384	2.81716	1.592584	0.466071	1.656498
POLR2B	-0.9416593	-0.6075481	-0.9940745	-0.899017	0.525043	0.1557139	-0.7890264	-0.5477897	-0.5466017	0.2187175	0.5821289	0.2181998	0.2677713
SCARB2	-2.515621	-2.63916	-2.183992	-1.074841	-1.371137	-1.635883	-0.6676673	-2.911455	-1.822986	-0.7442033	-0.7847883	-1.099478	-0.8848844
TCEA1	-2.163458	-2.905682	-0.4187558	-2.255034	-0.9618025	-0.8907547	-2.454246	-1.208442	-0.8305368	-0.03026753	0.6299818	0.2947245	-0.2016218
DDX17	3.500632	3.27481	3.957704	3.420754	4.52382	4.610173	3.912494	3.786038	4.18168	4.469664	4.595228	4.453467	4.326221
TIMM9	-2.871417	-1.463123	-1.309766	-1.356075	-1.617987	-1.448825	-1.325312	-1.130637	-1.004194	-1.715263	-1.824945	-1.536661	-1.383627
RPS10.NUDT3	-1.292988	-0.746969	-1.176149	-1.616242	-1.27696	-1.423082	-1.68895	-2.880293	-2.819966	-2.490905	-1.023076	-1.141278	-1.205944
GFAP	-3.950359	-2.059387	5.040633	2.792613	-1.664178	-3.170614	0.02106639	-1.181824	-1.433193	-2.933382	-3.676976	-3.442156	-3.546438
PHGDH	2.470177	2.533195	3.914531	2.952867	2.659832	3.034492	2.058251	3.578378	3.785926	3.814604	3.797917	3.913549	3.686895
