NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PID_ER_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_ER_NONGENOMIC_PATHWAY	PID_ER_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_ER_NONGENOMIC_PATHWAY	Details ...	15	0.616212	1.7699938	0.010447761	0.06811664	0.68	377	tags=53%, list=18%, signal=64%	
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	Details ...	56	0.45216057	1.7649958	0.0025940337	0.068865694	0.704	519	tags=45%, list=24%, signal=57%	
SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE	SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE		25	0.5408305	1.7603405	0.008720931	0.06859913	0.715	603	tags=52%, list=28%, signal=72%	
NEUROTROPHIC FACTOR-MEDIATED TRK RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NEUROTROPHIC FACTOR-MEDIATED TRK RECEPTOR SIGNALING	NEUROTROPHIC FACTOR-MEDIATED TRK RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NEUROTROPHIC FACTOR-MEDIATED TRK RECEPTOR SIGNALING		18	0.59535044	1.7599849	0.0014992504	0.06578247	0.717	603	tags=61%, list=28%, signal=84%	
KITRECEPTOR%IOB%KITRECEPTOR	KITRECEPTOR%IOB%KITRECEPTOR		16	0.59787387	1.7547731	0.0122887865	0.06706777	0.739	353	tags=50%, list=16%, signal=59%	
PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING	PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING		15	0.616212	1.7527584	0.0076923077	0.06545125	0.748	377	tags=53%, list=18%, signal=64%	
PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY	PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY		25	0.5408306	1.7285492	0.0014430014	0.07999532	0.832	603	tags=52%, list=28%, signal=72%	
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY		28	0.5047044	1.7155367	0.0041208793	0.08707255	0.869	516	tags=54%, list=24%, signal=70%	
SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)	SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)		28	0.5047043	1.7125547	0.004285714	0.08734916	0.881	516	tags=54%, list=24%, signal=70%	
IL3%NETPATH%IL3	IL3%NETPATH%IL3		20	0.55989176	1.7099111	0.010355029	0.086700425	0.891	516	tags=50%, list=24%, signal=65%	
WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057		34	0.48096496	1.6945786	0.009549796	0.09780702	0.922	696	tags=53%, list=32%, signal=77%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		49	0.43527263	1.6600938	0.002617801	0.13218097	0.973	334	tags=31%, list=16%, signal=35%	
INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS		25	0.50530124	1.639271	0.014306151	0.1558749	0.986	334	tags=32%, list=16%, signal=37%	
CXCR4%IOB%CXCR4	CXCR4%IOB%CXCR4		22	0.51464635	1.6297673	0.015895953	0.16450156	0.991	550	tags=45%, list=26%, signal=61%	
TOLL LIKE RECEPTOR 4 (TLR4) CASCADE%REACTOME%R-HSA-166016.1	TOLL LIKE RECEPTOR 4 (TLR4) CASCADE%REACTOME%R-HSA-166016.1		21	0.5194787	1.6239539	0.013313609	0.16813706	0.993	698	tags=52%, list=33%, signal=77%	
OPIOID SIGNALLING%REACTOME%R-HSA-111885.1	OPIOID SIGNALLING%REACTOME%R-HSA-111885.1		20	0.52138436	1.6161194	0.017621145	0.17572123	0.993	490	tags=55%, list=23%, signal=71%	
INTEGRATION OF ENERGY METABOLISM%REACTOME%R-HSA-163685.1	INTEGRATION OF ENERGY METABOLISM%REACTOME%R-HSA-163685.1		29	0.47347412	1.6135206	0.010928961	0.17467047	0.993	517	tags=48%, list=24%, signal=63%	
NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION%REACTOME DATABASE ID RELEASE 60%112314	NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION%REACTOME DATABASE ID RELEASE 60%112314		24	0.4872888	1.5960766	0.021802325	0.19800992	0.997	342	tags=38%, list=16%, signal=44%	
ENDOTHELINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOTHELINS	ENDOTHELINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOTHELINS		17	0.5323397	1.5938491	0.02170767	0.19644365	0.998	511	tags=53%, list=24%, signal=69%	
KITRECEPTOR%NETPATH%KITRECEPTOR	KITRECEPTOR%NETPATH%KITRECEPTOR		21	0.5170634	1.5840689	0.033045977	0.20905912	0.999	353	tags=43%, list=16%, signal=51%	
HALLMARK_MYOGENESIS%MSIGDB_C2%HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS%MSIGDB_C2%HALLMARK_MYOGENESIS		46	0.42323688	1.5804802	0.012113055	0.20935383	0.999	674	tags=52%, list=31%, signal=74%	
PID_ENDOTHELIN_PATHWAY%MSIGDB_C2%PID_ENDOTHELIN_PATHWAY	PID_ENDOTHELIN_PATHWAY%MSIGDB_C2%PID_ENDOTHELIN_PATHWAY		17	0.5323397	1.5802797	0.02973396	0.20447461	1.0	511	tags=53%, list=24%, signal=69%	
SIGNALING BY GPCR%REACTOME DATABASE ID RELEASE 60%372790	SIGNALING BY GPCR%REACTOME DATABASE ID RELEASE 60%372790		113	0.36454958	1.5788257	0.0035046728	0.20199232	1.0	602	tags=40%, list=28%, signal=52%	
TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR	TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR		46	0.42934436	1.5785115	0.01321004	0.19759935	1.0	598	tags=48%, list=28%, signal=65%	
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY		27	0.46997926	1.5758877	0.023876404	0.19693127	1.0	334	tags=30%, list=16%, signal=35%	
CXCR4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CXCR4-MEDIATED SIGNALING EVENTS	CXCR4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CXCR4-MEDIATED SIGNALING EVENTS		25	0.48055297	1.5709226	0.022566997	0.20077005	1.0	511	tags=48%, list=24%, signal=62%	
PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY	PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY		28	0.46516505	1.5677496	0.021551725	0.20108616	1.0	511	tags=46%, list=24%, signal=60%	
PID_LYSOPHOSPHOLIPID_PATHWAY%MSIGDB_C2%PID_LYSOPHOSPHOLIPID_PATHWAY	PID_LYSOPHOSPHOLIPID_PATHWAY%MSIGDB_C2%PID_LYSOPHOSPHOLIPID_PATHWAY		15	0.5410522	1.5476801	0.045994066	0.23215283	1.0	377	tags=53%, list=18%, signal=64%	
HUNTINGTON DISEASE%PANTHER PATHWAY%P00029	HUNTINGTON DISEASE%PANTHER PATHWAY%P00029		41	0.41674495	1.5467772	0.023448275	0.22878279	1.0	712	tags=59%, list=33%, signal=86%	
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN		29	0.45711702	1.5465955	0.03064067	0.22436284	1.0	565	tags=48%, list=26%, signal=65%	
HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN		23	0.47363994	1.541808	0.03038674	0.22810666	1.0	535	tags=48%, list=25%, signal=63%	
LPA RECEPTOR MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LPA RECEPTOR MEDIATED EVENTS	LPA RECEPTOR MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LPA RECEPTOR MEDIATED EVENTS		15	0.54105234	1.53812	0.053291537	0.2305927	1.0	377	tags=53%, list=18%, signal=64%	
TRANSPORT OF SMALL MOLECULES%REACTOME%R-HSA-382551.2	TRANSPORT OF SMALL MOLECULES%REACTOME%R-HSA-382551.2		128	0.34658304	1.5358485	0.0034965035	0.23008355	1.0	490	tags=32%, list=23%, signal=39%	
PID_ECADHERIN_NASCENT_AJ_PATHWAY%MSIGDB_C2%PID_ECADHERIN_NASCENT_AJ_PATHWAY	PID_ECADHERIN_NASCENT_AJ_PATHWAY%MSIGDB_C2%PID_ECADHERIN_NASCENT_AJ_PATHWAY		18	0.50992036	1.5315725	0.037593983	0.23282251	1.0	644	tags=61%, list=30%, signal=87%	
TOLL LIKE RECEPTOR 3 (TLR3) CASCADE%REACTOME DATABASE ID RELEASE 60%168164	TOLL LIKE RECEPTOR 3 (TLR3) CASCADE%REACTOME DATABASE ID RELEASE 60%168164		18	0.49968618	1.5299006	0.027941177	0.23164989	1.0	698	tags=50%, list=33%, signal=74%	
TRIF-MEDIATED TLR3 TLR4 SIGNALING%REACTOME%R-HSA-937061.1	TRIF-MEDIATED TLR3 TLR4 SIGNALING%REACTOME%R-HSA-937061.1		18	0.49968618	1.5207738	0.03508772	0.24449453	1.0	698	tags=50%, list=33%, signal=74%	
MYD88-INDEPENDENT TLR3 TLR4 CASCADE%REACTOME%R-HSA-166166.1	MYD88-INDEPENDENT TLR3 TLR4 CASCADE%REACTOME%R-HSA-166166.1		18	0.49968618	1.5198994	0.046062406	0.24172306	1.0	698	tags=50%, list=33%, signal=74%	
TRAF6 MEDIATED INDUCTION OF NFKB AND MAP KINASES UPON TLR7 8 OR 9 ACTIVATION%REACTOME DATABASE ID RELEASE 60%975138	TRAF6 MEDIATED INDUCTION OF NFKB AND MAP KINASES UPON TLR7 8 OR 9 ACTIVATION%REACTOME DATABASE ID RELEASE 60%975138		17	0.50521284	1.5185431	0.03773585	0.23999341	1.0	698	tags=53%, list=33%, signal=78%	
ALPHA6BETA4INTEGRIN%NETPATH%ALPHA6BETA4INTEGRIN	ALPHA6BETA4INTEGRIN%NETPATH%ALPHA6BETA4INTEGRIN		31	0.4400396	1.5136902	0.024147727	0.2445896	1.0	565	tags=45%, list=26%, signal=60%	
PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS	PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS		19	0.4877984	1.5076417	0.052857142	0.25220782	1.0	377	tags=42%, list=18%, signal=51%	
TRAF6 MEDIATED INDUCTION OF PROINFLAMMATORY CYTOKINES%REACTOME DATABASE ID RELEASE 60%168180	TRAF6 MEDIATED INDUCTION OF PROINFLAMMATORY CYTOKINES%REACTOME DATABASE ID RELEASE 60%168180		17	0.50521284	1.5047581	0.050847456	0.25387803	1.0	698	tags=53%, list=33%, signal=78%	
TOLL LIKE RECEPTOR 7 8 (TLR7 8) CASCADE%REACTOME DATABASE ID RELEASE 60%168181	TOLL LIKE RECEPTOR 7 8 (TLR7 8) CASCADE%REACTOME DATABASE ID RELEASE 60%168181		17	0.50521284	1.5044267	0.046827793	0.25044551	1.0	698	tags=53%, list=33%, signal=78%	
DEUBIQUITINATION%REACTOME%R-HSA-5688426.3	DEUBIQUITINATION%REACTOME%R-HSA-5688426.3		68	0.3704682	1.5037206	0.025094103	0.24770573	1.0	309	tags=25%, list=14%, signal=28%	
MYD88 CASCADE INITIATED ON PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 60%975871	MYD88 CASCADE INITIATED ON PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 60%975871		17	0.50521284	1.4996963	0.053019147	0.25150585	1.0	698	tags=53%, list=33%, signal=78%	
BIOCARTA_MPR_PATHWAY%MSIGDB_C2%BIOCARTA_MPR_PATHWAY	BIOCARTA_MPR_PATHWAY%MSIGDB_C2%BIOCARTA_MPR_PATHWAY		16	0.5233857	1.4983966	0.049475264	0.24993898	1.0	280	tags=31%, list=13%, signal=36%	
TOLL LIKE RECEPTOR 10 (TLR10) CASCADE%REACTOME DATABASE ID RELEASE 60%168142	TOLL LIKE RECEPTOR 10 (TLR10) CASCADE%REACTOME DATABASE ID RELEASE 60%168142		17	0.50521284	1.4969707	0.046686746	0.24852143	1.0	698	tags=53%, list=33%, signal=78%	
RAS PATHWAY%PANTHER PATHWAY%P04393	RAS PATHWAY%PANTHER PATHWAY%P04393		17	0.5103995	1.494511	0.049327355	0.24900302	1.0	844	tags=76%, list=39%, signal=125%	
RHO GTPASE CYCLE%REACTOME DATABASE ID RELEASE 60%194840	RHO GTPASE CYCLE%REACTOME DATABASE ID RELEASE 60%194840		19	0.49439475	1.4942377	0.03806735	0.24562883	1.0	593	tags=58%, list=28%, signal=79%	
MYD88 DEPENDENT CASCADE INITIATED ON ENDOSOME%REACTOME DATABASE ID RELEASE 60%975155	MYD88 DEPENDENT CASCADE INITIATED ON ENDOSOME%REACTOME DATABASE ID RELEASE 60%975155		17	0.50521284	1.4889208	0.047477745	0.25197968	1.0	698	tags=53%, list=33%, signal=78%	
TOLL LIKE RECEPTOR 2 (TLR2) CASCADE%REACTOME%R-HSA-181438.1	TOLL LIKE RECEPTOR 2 (TLR2) CASCADE%REACTOME%R-HSA-181438.1		17	0.50521284	1.4861253	0.045321636	0.2537173	1.0	698	tags=53%, list=33%, signal=78%	
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING		18	0.48211434	1.482812	0.060431655	0.25679448	1.0	519	tags=50%, list=24%, signal=65%	
TOLL LIKE RECEPTOR TLR6:TLR2 CASCADE%REACTOME DATABASE ID RELEASE 60%168188	TOLL LIKE RECEPTOR TLR6:TLR2 CASCADE%REACTOME DATABASE ID RELEASE 60%168188		17	0.50521284	1.481889	0.05755396	0.25485554	1.0	698	tags=53%, list=33%, signal=78%	
TOLL LIKE RECEPTOR 5 (TLR5) CASCADE%REACTOME DATABASE ID RELEASE 60%168176	TOLL LIKE RECEPTOR 5 (TLR5) CASCADE%REACTOME DATABASE ID RELEASE 60%168176		17	0.50521284	1.4814415	0.048672568	0.25219378	1.0	698	tags=53%, list=33%, signal=78%	
PID_THROMBIN_PAR1_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR1_PATHWAY	PID_THROMBIN_PAR1_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR1_PATHWAY		19	0.4877984	1.4787928	0.05942029	0.25374994	1.0	377	tags=42%, list=18%, signal=51%	
ACTIVATED TLR4 SIGNALLING%REACTOME%R-HSA-166054.1	ACTIVATED TLR4 SIGNALLING%REACTOME%R-HSA-166054.1		18	0.49968618	1.4732727	0.05451937	0.26019886	1.0	698	tags=50%, list=33%, signal=74%	
NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME		31	0.42782953	1.4651417	0.045961004	0.2726955	1.0	334	tags=35%, list=16%, signal=41%	
TOLL LIKE RECEPTOR TLR1:TLR2 CASCADE%REACTOME DATABASE ID RELEASE 60%168179	TOLL LIKE RECEPTOR TLR1:TLR2 CASCADE%REACTOME DATABASE ID RELEASE 60%168179		17	0.50521284	1.4621953	0.049848944	0.27514488	1.0	698	tags=53%, list=33%, signal=78%	
MYD88:MAL CASCADE INITIATED ON PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 60%166058	MYD88:MAL CASCADE INITIATED ON PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 60%166058		17	0.50521284	1.4614196	0.05007364	0.2732023	1.0	698	tags=53%, list=33%, signal=78%	
MEMBRANE TRAFFICKING%REACTOME%R-HSA-199991.4	MEMBRANE TRAFFICKING%REACTOME%R-HSA-199991.4		170	0.31563583	1.460935	0.010044643	0.27059606	1.0	551	tags=35%, list=26%, signal=43%	
NUCLEOTIDE METABOLISM%REACTOME DATABASE ID RELEASE 60%15869	NUCLEOTIDE METABOLISM%REACTOME DATABASE ID RELEASE 60%15869		23	0.4598621	1.4607254	0.03550296	0.267633	1.0	710	tags=52%, list=33%, signal=77%	
PID_RAC1_PATHWAY%MSIGDB_C2%PID_RAC1_PATHWAY	PID_RAC1_PATHWAY%MSIGDB_C2%PID_RAC1_PATHWAY		17	0.49235126	1.4566674	0.05038168	0.27229944	1.0	580	tags=59%, list=27%, signal=80%	
PID_CDC42_PATHWAY%MSIGDB_C2%PID_CDC42_PATHWAY	PID_CDC42_PATHWAY%MSIGDB_C2%PID_CDC42_PATHWAY		25	0.4392678	1.4462124	0.06743185	0.2891106	1.0	528	tags=48%, list=25%, signal=63%	
GLUCOSE METABOLISM%REACTOME DATABASE ID RELEASE 60%70326	GLUCOSE METABOLISM%REACTOME DATABASE ID RELEASE 60%70326		37	0.40511093	1.4451482	0.056833558	0.28760636	1.0	696	tags=51%, list=32%, signal=75%	
ST_INTEGRIN_SIGNALING_PATHWAY%MSIGDB_C2%ST_INTEGRIN_SIGNALING_PATHWAY	ST_INTEGRIN_SIGNALING_PATHWAY%MSIGDB_C2%ST_INTEGRIN_SIGNALING_PATHWAY		25	0.44027075	1.444507	0.05382436	0.2852419	1.0	755	tags=56%, list=35%, signal=85%	
HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GI ALPHA AND GS ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00026	HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GI ALPHA AND GS ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00026		19	0.47804573	1.4439125	0.06911765	0.28285336	1.0	310	tags=37%, list=14%, signal=43%	
BETA-CATENIN INDEPENDENT WNT SIGNALING%REACTOME%R-HSA-3858494.3	BETA-CATENIN INDEPENDENT WNT SIGNALING%REACTOME%R-HSA-3858494.3		52	0.37473541	1.441474	0.038873993	0.28429446	1.0	545	tags=42%, list=25%, signal=55%	
EGFR1%IOB%EGFR1	EGFR1%IOB%EGFR1		131	0.31954202	1.4387399	0.013937282	0.28602237	1.0	651	tags=40%, list=30%, signal=55%	
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR		37	0.40265745	1.4387133	0.05698779	0.28277215	1.0	317	tags=32%, list=15%, signal=37%	
RAC1 SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RAC1 SIGNALING PATHWAY	RAC1 SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RAC1 SIGNALING PATHWAY		17	0.49235114	1.4354824	0.071532845	0.28560796	1.0	580	tags=59%, list=27%, signal=80%	
P75 NTR RECEPTOR-MEDIATED SIGNALLING%REACTOME DATABASE ID RELEASE 60%193704	P75 NTR RECEPTOR-MEDIATED SIGNALLING%REACTOME DATABASE ID RELEASE 60%193704		16	0.48757935	1.4348971	0.069732934	0.28348663	1.0	593	tags=50%, list=28%, signal=69%	
PID_A6B1_A6B4_INTEGRIN_PATHWAY%MSIGDB_C2%PID_A6B1_A6B4_INTEGRIN_PATHWAY	PID_A6B1_A6B4_INTEGRIN_PATHWAY%MSIGDB_C2%PID_A6B1_A6B4_INTEGRIN_PATHWAY		18	0.48211437	1.426134	0.08866279	0.2970779	1.0	519	tags=50%, list=24%, signal=65%	
TOLL LIKE RECEPTOR 9 (TLR9) CASCADE%REACTOME%R-HSA-168138.1	TOLL LIKE RECEPTOR 9 (TLR9) CASCADE%REACTOME%R-HSA-168138.1		18	0.47677252	1.4254218	0.084848486	0.29521745	1.0	698	tags=50%, list=33%, signal=74%	
